Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,^N225,^N225,^N225,^N225,^N225,^IBEX,^IBEX,^IBEX,^IBEX,^IBEX,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,5975.52001953125,6048.2998046875,5974.43017578125,6048.2998046875,104344400.0,3952.2099609375,4013.969970703125,3950.610107421875,4013.969970703125,113396000.0,23360.0,23545.0,23317.0,23545.0,409066900.0,10609.33984375,10694.490234375,10608.1396484375,10654.7900390625,104400000.0,11986.487470472193,12145.0869140625,11986.087080265723,12145.0869140625,184200.0,5412.89990234375,5500.2998046875,5410.7998046875,5500.2998046875,750942000.0
2010-01-05,6043.93994140625,6058.02001953125,6015.669921875,6031.85986328125,117572100.0,4012.429931640625,4028.340087890625,3993.330078125,4012.909912109375,129518600.0,23554.0,23654.0,23480.0,23556.0,520893900.0,10719.4404296875,10791.0400390625,10655.5703125,10681.830078125,166200000.0,12141.787174493644,12240.487267135813,12139.787176574093,12204.3876953125,238400.0,5500.2998046875,5536.39990234375,5480.7001953125,5522.5,1149301200.0
2010-01-06,6032.39013671875,6047.56982421875,5997.08984375,6034.330078125,108742400.0,4014.449951171875,4022.93994140625,3996.800048828125,4017.669921875,110087000.0,23580.0,23634.0,23484.0,23622.0,307231300.0,10709.5498046875,10768.6103515625,10661.169921875,10731.4501953125,181800000.0,12216.387701648066,12230.687491482591,12147.586991860322,12222.4873046875,123800.0,5522.5,5536.5,5497.7001953125,5530.0,998295300.0
2010-01-07,6016.7998046875,6037.56982421875,5961.25,6019.35986328125,133704300.0,4005.9599609375,4032.239990234375,3983.89990234375,4024.800048828125,118430400.0,23551.0,23756.0,23467.0,23709.0,593410300.0,10742.75,10774.0,10636.669921875,10681.66015625,182600000.0,12162.987308130785,12199.687465147299,12079.087005054318,12166.287109375,192400.0,5530.0,5551.7001953125,5499.7998046875,5526.7001953125,1162933700.0
2010-01-08,6028.6201171875,6053.0400390625,5972.240234375,6037.60986328125,126099000.0,4042.639892578125,4051.409912109375,4013.340087890625,4045.139892578125,131783200.0,23816.0,23911.0,23668.0,23811.0,670146800.0,10743.2998046875,10816.4501953125,10677.5595703125,10798.3203125,211800000.0,12217.98724728043,12232.187427771265,12079.887782048956,12162.9873046875,213200.0,5526.7001953125,5549.2998046875,5494.7998046875,5534.2001953125,1006420600.0
2010-01-11,6057.93017578125,6094.259765625,6031.14013671875,6040.5,103675800.0,4071.39990234375,4088.179931640625,4039.330078125,4043.090087890625,110068800.0,23946.0,24059.0,23772.0,23775.0,596898900.0,,,,,,12192.48718062051,12233.88752771651,12066.086922894798,12074.4873046875,230800.0,5534.2001953125,5600.5,5527.89990234375,5538.10009765625,901194900.0
2010-01-12,6039.39013671875,6055.56005859375,5924.72021484375,5943.0,129269700.0,4044.18994140625,4049.47998046875,3980.199951171875,4000.050048828125,124775800.0,23823.0,23863.0,23512.0,23583.0,562609400.0,10770.349609375,10905.3896484375,10763.6796875,10879.1396484375,192800000.0,12094.388546226306,12134.1883119367,11941.087915108228,11966.087890625,186800.0,5538.10009765625,5549.60009765625,5459.89990234375,5498.7001953125,957401700.0
2010-01-13,5937.169921875,5974.43994140625,5925.240234375,5963.14013671875,114728400.0,3979.93994140625,4007.860107421875,3979.14990234375,4000.860107421875,117700800.0,23486.0,23673.0,23462.0,23658.0,505558200.0,10795.48046875,10866.6201171875,10729.8603515625,10735.0302734375,250000000.0,11922.988315842676,12027.188409042328,11909.587938349629,11958.2880859375,181800.0,5498.7001953125,5509.7001953125,5450.89990234375,5473.5,849923000.0
2010-01-14,5999.080078125,6009.91015625,5951.68994140625,5988.8798828125,115453700.0,4029.199951171875,4029.7099609375,3993.5,4015.77001953125,108974600.0,23831.0,23906.0,23693.0,23806.0,617788300.0,10778.0703125,10909.9404296875,10774.25,10907.6796875,267300000.0,12049.087842479857,12050.38862245954,11902.288181153932,11999.7880859375,153800.0,5473.5,5521.89990234375,5473.5,5498.2001953125,928036100.0
2010-01-15,5996.56005859375,6025.35986328125,5866.83984375,5875.97021484375,156035200.0,4030.93994140625,4044.080078125,3949.89990234375,3954.3798828125,162295200.0,23894.0,23963.0,23457.0,23472.0,757188400.0,10917.41015625,10982.099609375,10878.830078125,10982.099609375,252900000.0,12028.488099705835,12085.287848198932,11818.587916744002,11844.98828125,236400.0,5498.2001953125,5527.0,5450.39990234375,5455.39990234375,1743437800.0
2010-01-18,5897.6298828125,5922.93017578125,5877.64990234375,5918.5498046875,79532100.0,3971.169921875,3982.7900390625,3954.280029296875,3977.4599609375,86949800.0,23554.0,23622.0,23389.0,23510.0,470008200.0,10887.6103515625,10895.099609375,10781.0302734375,10855.080078125,186600000.0,11888.48826367804,11897.688449908112,11788.788166789529,11870.6884765625,95600.0,5455.39990234375,5504.0,5454.2998046875,5494.39990234375,776795200.0
2010-01-19,5905.330078125,5988.7998046875,5849.669921875,5976.47998046875,113604900.0,3968.72998046875,4019.8798828125,3930.909912109375,4009.669921875,115690200.0,23452.0,23721.0,23141.0,23706.0,708704200.0,10866.830078125,10866.830078125,10749.4697265625,10764.900390625,174700000.0,11850.388839722193,12049.188450634196,11772.488525028792,12022.587890625,202400.0,5494.39990234375,5531.89990234375,5431.2998046875,5513.10009765625,1107801600.0
2010-01-20,5963.7099609375,5972.77001953125,5832.08984375,5851.52978515625,118371200.0,3996.360107421875,4013.47998046875,3915.9599609375,3928.949951171875,143524600.0,23629.0,23718.0,23101.0,23126.0,732386400.0,10834.91015625,10860.9296875,10724.5703125,10737.51953125,146400000.0,11987.287807405957,12038.987950975212,11642.488347805374,11708.98828125,233600.0,5513.10009765625,5513.10009765625,5404.0,5420.7998046875,1199200900.0
2010-01-21,5878.240234375,5908.85009765625,5742.4501953125,5746.97021484375,138594400.0,3955.780029296875,3966.199951171875,3862.159912109375,3862.159912109375,112341400.0,23301.0,23432.0,22863.0,22876.0,754155300.0,10704.7900390625,10886.6396484375,10649.83984375,10868.41015625,176900000.0,11771.787750267807,11788.787732859668,11414.087921243246,11443.98828125,288200.0,5420.7998046875,5468.39990234375,5331.60009765625,5335.10009765625,1345500500.0
2010-01-22,5735.68017578125,5740.8701171875,5639.490234375,5695.31982421875,177787000.0,3840.06005859375,3859.64990234375,3786.2900390625,3820.780029296875,170381000.0,22700.0,22923.0,22375.0,22568.0,1108761500.0,10740.2099609375,10768.0703125,10528.330078125,10590.5498046875,187400000.0,11409.988243539055,11423.488229629133,11204.488455278995,11373.388671875,302600.0,5335.10009765625,5345.60009765625,5253.0,5303.0,1645842400.0
2010-01-25,5662.85009765625,5693.85986328125,5624.580078125,5631.3701171875,122382000.0,3793.6298828125,3833.43994140625,3780.5,3781.85009765625,131374000.0,22374.0,22673.0,22341.0,22373.0,669930200.0,10478.3095703125,10557.6396484375,10414.580078125,10512.6904296875,139800000.0,11275.388644685198,11383.28794634548,11223.68850323042,11249.2880859375,203600.0,5303.0,5330.60009765625,5252.89990234375,5260.2998046875,1024448800.0
