Ticker,^N225,^N225,^N225,^N225,^N225,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE,^IBEX,^IBEX,^IBEX,^IBEX,^IBEX,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,,,,,,13233.7099609375,13425.0302734375,13225.16015625,13385.9296875,75341400.0,6016.60986328125,6062.919921875,6011.2099609375,6041.5,63958300.0,7542.39990234375,7624.7998046875,7542.39990234375,7604.2998046875,482206700.0,9639.099609375,9705.400390625,9615.099609375,9691.2001953125,142379600.0,23607.0,23862.0,23572.0,23836.0,264537200.0
2020-01-03,,,,,,13266.3896484375,13282.740234375,13120.7197265625,13219.1396484375,80793400.0,6007.9599609375,6044.16015625,5994.58984375,6044.16015625,60488000.0,7604.2998046875,7626.39990234375,7551.0,7622.39990234375,475628900.0,9631.2001953125,9650.7001953125,9581.2001953125,9646.599609375,135130000.0,23710.0,23760.0,23517.0,23702.0,325924900.0
2020-01-06,23319.759765625,23365.359375,23148.529296875,23204.859375,72800000.0,13085.490234375,13143.1103515625,12948.169921875,13126.990234375,71778600.0,6001.2099609375,6017.97021484375,5955.25,6013.58984375,69063700.0,7622.39990234375,7622.39990234375,7528.10009765625,7575.2998046875,516783400.0,9585.400390625,9618.2001953125,9492.7001953125,9600.900390625,103520400.0,23566.0,23608.0,23265.0,23581.0,349155800.0
2020-01-07,23320.119140625,23577.439453125,23299.919921875,23575.720703125,64300000.0,13199.58984375,13283.8798828125,13166.400390625,13226.830078125,78282300.0,6033.22021484375,6065.740234375,6000.0,6012.35009765625,69593800.0,7575.2998046875,7604.60009765625,7562.10009765625,7573.89990234375,511576100.0,9623.099609375,9657.900390625,9557.900390625,9579.7998046875,133476100.0,23688.0,23794.0,23636.0,23723.0,306340300.0
2020-01-08,23217.490234375,23303.2109375,22951.1796875,23204.759765625,79400000.0,13140.490234375,13334.0400390625,13106.26953125,13320.1796875,88178800.0,5986.81005859375,6031.0,5972.77001953125,6031.0,71431600.0,7573.89990234375,7579.5,7525.0,7574.89990234375,606225000.0,9535.099609375,9604.2998046875,9520.2998046875,9591.400390625,133957600.0,23551.0,23893.0,23481.0,23832.0,472506700.0
2020-01-09,23530.2890625,23767.08984375,23506.150390625,23739.869140625,62200000.0,13474.759765625,13523.33984375,13456.7802734375,13495.0595703125,86965600.0,6066.75,6071.66015625,6034.14990234375,6042.5498046875,67961100.0,7574.89990234375,7627.7998046875,7574.89990234375,7598.10009765625,653838100.0,9629.2001953125,9644.7998046875,9573.7998046875,9581.7998046875,151793500.0,23980.0,24078.0,23964.0,24017.0,430637300.0
2020-01-10,23813.279296875,23903.2890625,23761.080078125,23850.5703125,55900000.0,13533.4599609375,13548.2001953125,13483.3095703125,13483.3095703125,77941000.0,6056.740234375,6057.830078125,6028.2900390625,6037.10986328125,64393300.0,7598.10009765625,7632.0,7585.10009765625,7587.89990234375,651315600.0,9611.2998046875,9623.599609375,9557.900390625,9573.599609375,132894500.0,24061.0,24147.0,23966.0,24021.0,326014300.0
2020-01-13,,,,,,13521.8603515625,13529.2099609375,13404.7197265625,13451.51953125,67208300.0,6040.91015625,6058.68994140625,6018.330078125,6036.14013671875,65192400.0,7587.89990234375,7635.7998046875,7582.5,7617.60009765625,659019400.0,9586.599609375,9586.599609375,9507.400390625,9543.900390625,124149000.0,24061.0,24061.0,23829.0,23897.0,340838600.0
2020-01-14,23969.0390625,24059.859375,23951.66015625,24025.169921875,64200000.0,13439.2001953125,13487.900390625,13362.2001953125,13456.490234375,74555400.0,6037.4501953125,6046.1201171875,5980.0498046875,6040.89013671875,75439500.0,7617.60009765625,7650.7001953125,7588.7998046875,7622.39990234375,697648200.0,9548.099609375,9548.400390625,9466.0,9528.2998046875,143774600.0,23932.0,23948.0,23706.0,23928.0,350706400.0
2020-01-15,23923.48046875,23997.390625,23875.8203125,23916.580078125,57200000.0,13444.9501953125,13458.91015625,13388.48046875,13432.2998046875,72046400.0,6042.72021484375,6053.009765625,6011.27978515625,6032.60986328125,79851500.0,7622.39990234375,7642.7998046875,7609.39990234375,7642.7998046875,730575200.0,9521.2001953125,9530.2001953125,9475.0,9511.7001953125,161995000.0,23903.0,23932.0,23719.0,23764.0,341178900.0
2020-01-16,23960.19921875,23975.380859375,23905.380859375,23933.130859375,55400000.0,13463.4599609375,13492.740234375,13382.98046875,13429.4296875,39611800.0,6039.6201171875,6058.97021484375,6021.02978515625,6039.02978515625,76032900.0,7642.7998046875,7653.60009765625,7595.2998046875,7609.7998046875,573564200.0,9516.7001953125,9579.5,9481.599609375,9572.5,133841500.0,23862.0,23961.0,23760.0,23940.0,361875400.0
2020-01-17,24103.44921875,24115.94921875,24013.75,24041.259765625,59400000.0,13513.48046875,13557.7802734375,13497.2998046875,13526.1298828125,86342800.0,6066.2900390625,6109.81005859375,6066.2900390625,6100.72021484375,79316600.0,7609.7998046875,7689.7001953125,7609.7998046875,7674.60009765625,631970100.0,9616.099609375,9709.900390625,9611.2998046875,9681.2998046875,159823200.0,24043.0,24169.0,24011.0,24141.0,319934800.0
2020-01-20,24080.6796875,24108.109375,24061.669921875,24083.509765625,38300000.0,13503.830078125,13550.830078125,13487.2099609375,13548.9404296875,52882400.0,6092.97021484375,6094.08984375,6071.169921875,6078.5400390625,41270000.0,7674.60009765625,7682.7998046875,7639.60009765625,7651.39990234375,358980900.0,9676.599609375,9680.900390625,9623.099609375,9658.7998046875,99959200.0,24033.0,24085.0,23973.0,24002.0,218203400.0
2020-01-21,24072.810546875,24081.75,23843.48046875,23864.560546875,44600000.0,13456.900390625,13560.6796875,13443.25,13555.8701171875,64630900.0,6034.240234375,6045.990234375,5994.169921875,6045.990234375,63922800.0,7651.39990234375,7651.39990234375,7550.5,7610.7001953125,656519300.0,9593.400390625,9620.7001953125,9550.0,9611.2998046875,126448800.0,23858.0,23860.0,23645.0,23845.0,332896600.0
2020-01-22,23835.490234375,24040.869140625,23831.099609375,24031.349609375,49000000.0,13601.650390625,13640.0595703125,13498.0302734375,13515.75,73130700.0,6053.85009765625,6069.259765625,6005.77001953125,6010.97998046875,69408800.0,7610.7001953125,7637.39990234375,7563.5,7571.89990234375,604636000.0,9622.0,9632.7998046875,9557.0,9573.7001953125,134567800.0,23888.0,23907.0,23680.0,23706.0,424389000.0
2020-01-23,23843.509765625,23910.009765625,23779.23046875,23795.439453125,55500000.0,13455.900390625,13486.1396484375,13382.23046875,13388.419921875,90749900.0,5992.47021484375,6024.31982421875,5961.8701171875,5971.7900390625,90037200.0,7571.89990234375,7572.10009765625,7503.2001953125,7507.7001953125,668616300.0,9549.400390625,9604.7001953125,9499.2998046875,9518.5,169141000.0,23716.0,23901.0,23611.0,23707.0,379431100.0
