Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,NVDA,NVDA,NVDA,NVDA,NVDA,AAPL,AAPL,AAPL,AAPL,AAPL,TSLA,TSLA,TSLA,TSLA,TSLA,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,151.04082551521063,152.89577671233235,150.61276208742146,152.7911376953125,22622100,93.75,94.90049743652344,93.2074966430664,94.90049743652344,80580000,205.483255773762,208.5046232125284,205.0062009498093,208.49468994140625,12077100,5.942538298227734,5.971410751342773,5.8920113865906325,5.971410751342773,237536000,71.54588227171874,72.59888386623527,71.29229630932706,72.53850555419922,135480400,28.299999237060547,28.713333129882812,28.11400032043457,28.68400001525879,142981500,66.9586787875548,67.9652328491211,66.86333571006601,67.9652328491211,27278000
2020-01-03,150.60326014654098,152.15380170810275,150.35592363465673,150.8886260986328,21116200,93.2249984741211,94.30999755859375,93.2249984741211,93.74849700927734,75288000,205.9404182359199,209.1108601705248,205.68200156614884,207.39146423339844,11188400,5.851687121635845,5.919637558269956,5.826796822243751,5.87583065032959,205384000,71.76566667933918,72.59405542623057,71.60868452797844,71.83329010009766,146322800,29.366666793823242,30.266666412353516,29.128000259399414,29.534000396728516,266677500,66.93830827076289,68.21698731835554,66.90453698982235,67.60967254638672,23408000
2020-01-06,149.4236895425469,151.34523581046366,148.8814652208115,151.2786407470703,20813700,93.0,95.18450164794922,93.0,95.14399719238281,81236000,205.43357884053248,211.47632946439103,205.25468895133676,211.2974395751953,17058900,5.78249329637556,5.9056995619617005,5.756358691523111,5.900472640991211,262636000,70.95418053006813,72.4443131708714,70.70300468370534,72.40567016601562,118387200,29.364667892456055,30.104000091552734,29.333332061767578,30.1026668548584,151995000,67.11857657252054,69.43708883609668,67.08729816087028,69.4117660522461,46768000
2020-01-07,151.55451759516868,151.88744937521383,149.65200051472752,149.89932250976562,21634100,95.2249984741211,95.69450378417969,94.60199737548828,95.34300231933594,80898000,211.51607306559464,213.26528420125555,210.45262160623358,211.7545928955078,14912400,5.9288493658437025,6.017707524175608,5.883798135722239,5.971909523010254,314856000,72.41533721540509,72.67134068922641,71.84536944211234,72.06514739990234,108872000,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,268231500,69.54334890156011,69.69430813422605,69.1013974302101,69.27767944335938,34330000
2020-01-08,151.18349353765257,152.96235665110237,150.2512643514122,152.28695678710938,27746500,94.9020004272461,95.55000305175781,94.3219985961914,94.59850311279297,70160000,211.69496771917474,214.91512198342505,211.3073578215122,213.9013671875,13475000,5.967676046816965,6.0244258788447835,5.927602987861085,5.983108043670654,277108000,71.76807876823776,73.5262949460089,71.76807876823776,73.22440338134766,132079200,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,467164500,69.26328874755316,70.10895763815583,69.15454170506581,69.77079010009766,35314000
2020-01-09,153.95165378716467,154.3131366188501,153.18113681650973,154.18946838378906,21385000,95.49449920654297,95.89099884033203,94.79000091552734,95.05249786376953,63346000,216.20714065859832,217.04200556180393,214.95486605173915,216.96249389648438,12642800,6.069477028787541,6.1212487048790996,5.995055363091682,6.048818111419678,255112000,74.20254195863613,74.97296995476395,73.95137344000949,74.7797622680664,170108400,33.13999938964844,33.253334045410156,31.524667739868164,32.089332580566406,426606000,70.6094889546629,70.94467861110725,70.02750448166115,70.50322723388672,33200000
2020-01-10,154.88391673930064,155.26441433524994,153.323838856771,153.47604370117188,20725900,95.26850128173828,95.34700012207031,94.0,94.15799713134766,57074000,217.85698324760483,218.53282485012502,216.08789032041105,216.72396850585938,12119400,6.156095965769185,6.186461959258033,6.066989057902304,6.081176280975342,316296000,75.01402005997716,75.51395427727236,74.446462424671,74.94880676269531,140644800,32.11933135986328,32.3293342590332,31.579999923706055,31.876667022705078,194392500,70.98391800569446,71.25554310798687,70.49379866523805,70.95858764648438,26258000
2020-01-13,153.87557043595248,155.35002402068366,153.39994118378453,155.3214874267578,21626500,94.56549835205078,94.9000015258789,94.04000091552734,94.56500244140625,55616000,218.25455517375877,220.61002974429184,217.86694524233812,220.55039978027344,14463400,6.1643088762984775,6.296973440866973,6.141658411841688,6.271834373474121,319840000,75.26520375211625,76.57661912211044,75.14685723047293,76.550048828125,121532000,32.900001525878906,35.04199981689453,32.79999923706055,34.990665435791016,397764000,71.27093190331932,71.5802987088555,70.78032005165358,71.50830078125,30730000
