symbol,fv_company,fv_sector,fv_industry,fv_p_e,fv_eps_ttm,fv_perf_week,fv_market_cap,fv_forward_p_e,fv_perf_month,fv_short_float,fv_perf_quarter,fv_p_s,fv_eps_this_y,fv_short_ratio,fv_perf_half_y,fv_p_b,fv_roa,fv_perf_ytd,fv_p_c,fv_roe,fv_52w_high,fv_perf_year,fv_p_fcf,fv_eps_past_3_5y,fv_roic,fv_52w_low,fv_perf_3y,fv_dividend_est,fv_ev_ebitda,fv_sales_past_3_5y,fv_volatility_w,fv_volatility_m,fv_perf_5y,fv_dividend_ttm,fv_ev_sales,fv_eps_y_y_ttm,fv_oper_margin,fv_atr_14,fv_perf_10y,fv_quick_ratio,fv_sales_y_y_ttm,fv_profit_margin,fv_rsi_14,fv_recom,fv_dividend_gr_3_5y,fv_current_ratio,fv_eps_q_q,fv_sma20,fv_beta,fv_payout,fv_debt_eq,fv_sales_q_q,fv_sma50,fv_rel_volume,fv_prev_close,fv_lt_debt_eq,fv_sma200,fv_avg_volume,fv_price,fv_ipo,fv_eps_sales_surpr,fv_trades,fv_volume,fv_change
CMCSA,Comcast Corp,Communication Services,Telecom Services,5.51,5.38,6.09%,106.60B,7.69,3.71%,2.22%,4.51%,0.86,-18.78%,2.38,6.42%,1.10,7.42%,5.81%,11.24,21.92%,34.34 -13.73%,-7.00%,4.87,64.46% 18.80%,10.24%,24.12 22.83%,-16.97%,1.33 (4.48%),5.46,0.62% 3.62%,2.49%,2.33%,-42.61%,1.28 (4.31%),1.64,29.42%,16.90%,0.71,2.07%,0.88,-0.02%,16.17%,58.15,2.57,6.92% 7.49%,0.88,-52.05%,4.01%,0.77,24.48%,1.08,1.24%,-1.36%,0.98,29.35,1.02,1.32%,33.18M,29.63,"Mar 17, 1980",15.21% -0.09%,"

","32,416,065",0.95%
SUI,"Sun Communities, Inc",Real Estate,REIT - Residential,12.15,10.74,0.90%,16.08B,42.85,-1.34%,2.14%,2.41%,6.92,-75.32%,3.08,4.70%,2.32,-0.47%,5.29%,25.28,-0.97%,137.85 -5.35%,9.32%,18.60,75.76% 51.87%,11.98%,115.53 12.94%,-0.97%,4.48 (3.43%),19.99,-7.87% 10.68%,1.73%,1.84%,-13.08%,4.24 (3.25%),8.66,1332.81%,5.64%,2.46,98.53%,1.57,-28.32%,58.09%,53.47,1.88,4.87% 5.14%,1.80,156.04%,1.68%,0.86,37.47%,0.62,-31.02%,-0.26%,1.02,128.23,0.62,2.73%,843.57K,130.47,"Dec 09, 1993",153.00% 2.05%,"

","860,052",1.75%
U,Unity Software Inc,Technology,Software - Application,-,-0.96,19.89%,11.31B,-,31.51%,10.61%,-41.06%,6.11,30.94%,1.93,-30.71%,3.47,-5.93%,-41.32%,5.50,-12.53%,52.15 -50.30%,34.79%,28.00,31.42% 1.50%,-8.09%,16.78 54.47%,-13.57%,-,1230.48,9.96% 19.08%,5.78%,6.15%,-74.27%,-,6.40,43.33%,-24.40%,1.43,-,1.84,2.01%,-21.78%,68.98,1.70,- -,1.84,30.90%,20.72%,2.05,-,0.72,10.06%,24.74%,0.66,25.93,0.54,-25.16%,19.29M,25.92,"Sep 18, 2020",-201.40% 2.09%,"

","12,671,444",-0.04%
NICE,NICE Ltd ADR,Technology,Software - Application,10.79,9.75,8.51%,6.36B,8.46,-10.40%,4.82%,-8.85%,2.14,-11.00%,3.70,-18.11%,1.64,11.86%,-6.89%,15.24,16.53%,180.61 -41.73%,-29.72%,9.05,32.88% 25.27%,15.62%,94.65 11.20%,-53.00%,-,7.02,10.97% 12.34%,4.29%,4.11%,-55.71%,-,2.03,41.49%,22.23%,4.67,64.09%,1.55,7.93%,20.81%,43.52,2.06,- -,1.55,56.42%,-2.85%,0.88,0.00%,0.02,8.81%,-6.52%,0.95,105.04,0.02,-17.14%,788.62K,105.25,"Jan 25, 1996",0.84% 0.84%,"

","750,438",0.20%
NXPI,NXP Semiconductors NV,Technology,Semiconductors,27.19,7.95,5.71%,54.59B,12.96,12.11%,3.22%,-9.46%,4.45,17.95%,2.79,-0.55%,5.43,7.93%,-0.47%,16.71,21.01%,256.36 -15.73%,26.53%,21.85,-9.08% 112.19%,9.51%,166.60 29.67%,23.79%,4.48 (2.08%),16.22,-2.42% 7.33%,3.06%,3.16%,8.35%,4.06 (1.88%),5.23,-18.67%,25.50%,7.01,156.02%,1.38,-2.74%,16.47%,63.85,1.61,6.30% 22.04%,2.05,-7.16%,7.87%,1.50,50.72%,1.24,7.20%,1.99%,1.47,213.73,1.11,-1.49%,2.91M,216.03,"Aug 06, 2010",1.15% 0.82%,"

","4,286,670",1.08%
ENPH,Enphase Energy Inc,Technology,Solar,25.16,1.29,4.15%,4.28B,12.58,-24.95%,20.04%,-8.14%,2.91,-28.11%,3.70,-13.48%,3.92,5.09%,1.34%,2.83,17.93%,54.72 -40.64%,-38.18%,44.63,-22.48% 6.42%,10.18%,25.77 26.01%,-85.56%,-,10.86,-14.19% 13.72%,4.86%,6.18%,-78.35%,-,2.72,71.88%,19.60%,2.20,1163.81%,1.84,10.72%,11.69%,36.91,2.69,- -,2.07,-34.31%,-8.98%,1.31,0.00%,1.14,-10.29%,-21.48%,1.16,31.96,0.56,-11.45%,6.86M,32.48,"Mar 30, 2012",21.06% 1.44%,"

","7,955,470",1.63%
TGT,Target Corp,Consumer Defensive,Discount Stores,15.72,8.13,4.88%,57.89B,15.12,11.12%,4.16%,15.04%,0.55,5.50%,3.07,40.62%,3.58,6.32%,30.78%,10.55,24.04%,126.00 1.46%,37.30%,20.42,10.78% -1.21%,10.92%,83.44 53.21%,-21.43%,4.36 (3.41%),9.30,-1.34% 2.29%,3.05%,2.64%,-38.70%,4.54 (3.55%),0.69,-8.16%,4.47%,3.37,54.77%,0.36,-1.68%,3.54%,65.59,2.63,3.12% 10.95%,0.94,-4.48%,6.49%,1.00,55.83%,1.26,-1.49%,8.54%,0.94,123.91,1.10,25.10%,6.13M,127.84,"Sep 08, 1969",12.86% -0.03%,"

","5,774,970",3.17%
DXCM,Dexcom Inc,Healthcare,Medical Devices,30.57,2.09,-0.06%,24.62B,21.40,-5.44%,3.88%,-7.60%,5.28,18.95%,3.15,-2.19%,8.97,13.04%,-3.60%,12.32,34.50%,89.98 -28.90%,-6.69%,22.86,37.83% 10.55%,20.33%,54.11 18.24%,-46.08%,-,20.64,17.01% 19.33%,3.86%,3.31%,-36.03%,-,5.15,46.46%,19.56%,2.28,283.06%,1.59,15.60%,17.94%,46.92,1.52,- -,1.88,77.97%,0.08%,1.47,0.00%,0.51,13.12%,-5.23%,1.68,61.23,0.50,-9.41%,4.67M,63.98,"Apr 14, 2005",4.65% 0.91%,"

","7,829,219",4.49%
WYNN,Wynn Resorts Ltd,Consumer Cyclical,Resorts & Casinos,34.76,3.14,4.99%,11.39B,19.59,7.45%,10.84%,-6.97%,1.60,22.50%,4.70,-7.52%,-,2.44%,-9.26%,5.51,-,134.72 -18.95%,46.03%,16.45,- -,2.74%,73.62 48.32%,-1.93%,0.99 (0.91%),11.73,23.86% 27.77%,2.59%,3.00%,-14.21%,1.00 (0.92%),2.92,-30.95%,16.21%,3.52,11.79%,1.58,0.14%,4.59%,61.06,1.18,- 0.00%,1.63,-59.12%,6.34%,1.03,31.85%,-,1.48%,3.26%,0.90,106.82,-,-5.58%,1.74M,109.19,"Oct 25, 2002",-20.59% 0.73%,"

","1,573,268",2.22%
MTD,"Mettler-Toledo International, Inc",Healthcare,Diagnostics & Research,31.83,42.12,1.18%,27.25B,26.23,12.51%,3.01%,-10.43%,6.77,8.83%,3.79,2.81%,-,25.00%,-3.85%,407.35,-,1525.17 -12.10%,33.40%,32.11,3.07% 11.04%,40.57%,962.54 39.28%,-16.00%,-,23.67,0.90% 5.47%,2.76%,2.75%,4.54%,-,7.31,3.77%,27.78%,37.97,272.08%,0.81,3.98%,21.59%,59.01,2.28,- -,1.14,16.90%,4.43%,1.36,0.00%,-,8.10%,3.22%,0.72,1290.84,-,0.66%,160.18K,1340.58,"Nov 14, 1997",4.36% 2.31%,"

","115,361",3.85%
GPC,Genuine Parts Co,Consumer Cyclical,Auto Parts,246.62,0.46,5.84%,15.83B,13.54,12.98%,4.60%,-16.43%,0.65,4.78%,3.49,-14.80%,3.54,0.33%,-7.46%,33.18,1.51%,151.57 -24.93%,-0.27%,37.61,-61.52% -18.81%,0.68%,96.08 18.43%,-31.58%,4.25 (3.73%),12.62,3.22% 8.00%,2.37%,2.56%,-5.19%,4.15 (3.65%),0.92,-92.72%,5.06%,2.98,14.48%,0.46,3.46%,0.27%,60.74,2.25,4.79% 5.45%,1.08,-559.27%,7.24%,0.75,869.93%,1.57,4.15%,-1.20%,1.11,111.18,1.18,-11.07%,1.83M,113.79,"Aug 20, 1968",-14.76% -1.04%,"

","2,035,640",2.35%
SHOP,Shopify Inc,Technology,Software - Application,140.03,0.94,18.38%,171.03B,54.80,5.98%,1.37%,-16.99%,14.80,29.14%,1.38,-16.04%,12.69,8.46%,-18.53%,29.60,9.84%,182.19 -28.01%,56.78%,85.04,- 28.70%,9.02%,80.35 63.22%,170.30%,-,86.08,27.31% 31.58%,4.69%,4.82%,8.59%,-,14.32,-39.49%,16.36%,6.49,4134.74%,5.91,30.14%,10.65%,61.13,1.63,- -,5.92,-42.95%,10.95%,2.77,0.00%,0.01,30.58%,8.58%,0.72,126.94,0.01,-7.28%,12.12M,131.15,"May 21, 2015",-4.86% 2.28%,"

","8,738,134",3.32%
F,Ford Motor Co,Consumer Cyclical,Auto Manufacturers,-,-1.92,6.10%,51.34B,6.94,9.16%,3.74%,-6.81%,0.27,38.89%,2.42,9.44%,1.51,-2.85%,-1.91%,1.33,-20.26%,14.80 -13.01%,33.64%,4.12,-60.92% -44.90%,-5.69%,9.35 37.65%,4.63%,0.63 (4.89%),24.37,5.82% 8.05%,2.51%,2.36%,13.97%,0.60 (4.66%),0.95,-228.90%,0.71%,0.37,8.93%,0.94,1.23%,-4.37%,61.72,2.68,14.47% 37.97%,1.07,-679.75%,7.99%,1.72,-,4.61,-4.81%,1.78%,0.76,12.44,3.00,2.94%,60.42M,12.87,"Jun 01, 1972",-27.50% 5.28%,"

","45,682,001",3.46%
OKLO,Oklo Inc,Utilities,Utilities - Independent Power Producers,-,-0.72,32.96%,11.60B,-,17.83%,17.56%,-26.94%,-,-3.94%,2.53,-61.06%,7.26,-11.64%,-6.90%,9.44,-12.24%,193.84 -65.53%,203.96%,-,- -157.20%,-7.16%,19.89 235.90%,559.85%,-,-,- -,11.62%,8.34%,-,-,-,86.44%,-,5.39,-,49.08,-,-,64.70,1.89,- -,49.08,-264.93%,25.54%,1.04,-,0.00,-,12.09%,2.54,64.21,0.00,-21.99%,9.55M,66.81,"Jul 08, 2021",-59.10% -,"

","24,232,174",4.05%
SCVL,"Shoe Carnival, Inc",Consumer Cyclical,Apparel Retail,9.95,1.90,7.21%,518.90M,10.24,11.91%,17.01%,-2.58%,0.46,-21.29%,7.31,-6.95%,0.75,4.15%,11.91%,3.97,7.81%,26.57 -28.90%,9.44%,19.52,-21.72% 27.60%,5.21%,15.04 25.60%,-24.65%,0.68 (3.60%),7.51,-3.47% 3.05%,4.20%,4.90%,-39.54%,0.62 (3.28%),0.67,-29.58%,5.88%,0.90,42.03%,0.97,-5.62%,4.60%,61.43,2.33,18.56% 27.23%,3.74,-38.33%,10.73%,1.42,31.61%,0.54,-3.37%,1.67%,1.12,17.82,0.45,-3.25%,417.58K,18.89,"Mar 16, 1993",0.00% 0.09%,"

","468,465",6.00%
