symbol,fv_company,fv_sector,fv_industry,fv_p_e,fv_eps_ttm,fv_perf_week,fv_market_cap,fv_forward_p_e,fv_perf_month,fv_short_float,fv_perf_quarter,fv_p_s,fv_eps_this_y,fv_short_ratio,fv_perf_half_y,fv_p_b,fv_roa,fv_perf_ytd,fv_p_c,fv_roe,fv_52w_high,fv_perf_year,fv_p_fcf,fv_eps_past_3_5y,fv_roic,fv_52w_low,fv_perf_3y,fv_dividend_est,fv_ev_ebitda,fv_sales_past_3_5y,fv_volatility_w,fv_volatility_m,fv_perf_5y,fv_dividend_ttm,fv_ev_sales,fv_eps_y_y_ttm,fv_oper_margin,fv_atr_14,fv_perf_10y,fv_quick_ratio,fv_sales_y_y_ttm,fv_profit_margin,fv_rsi_14,fv_recom,fv_dividend_gr_3_5y,fv_current_ratio,fv_eps_q_q,fv_sma20,fv_beta,fv_payout,fv_debt_eq,fv_sales_q_q,fv_sma50,fv_rel_volume,fv_prev_close,fv_lt_debt_eq,fv_sma200,fv_avg_volume,fv_price,fv_ipo,fv_eps_sales_surpr,fv_trades,fv_volume,fv_change
HUM,Humana Inc,Healthcare,Healthcare Plans,20.92,9.81,6.76%,24.63B,13.53,20.37%,4.96%,-27.75%,0.19,-48.54%,2.69,-21.75%,1.40,2.50%,-19.91%,-,6.98%,315.35 -34.95%,-22.44%,65.67,-23.63% -17.23%,3.90%,163.11 25.77%,-60.46%,3.94 (1.92%),-,11.76% 10.94%,3.20%,3.80%,-52.87%,3.54 (1.73%),-,-1.58%,2.09%,7.11,20.76%,-,10.11%,0.92%,67.58,2.69,3.97% 7.20%,2.00,-14.97%,11.15%,0.51,36.00%,0.73,11.30%,12.82%,0.85,200.76,0.72,-14.84%,2.21M,205.14,"Jul 02, 1969",0.97% 1.47%,"

","1,883,137",2.18%
JD,JD.com Inc ADR,Consumer Cyclical,Internet Retail,17.70,1.79,9.23%,43.01B,7.74,12.06%,1.88%,7.45%,0.24,15.97%,2.42,-4.65%,1.35,2.77%,10.10%,1.33,8.32%,38.08 -17.02%,-8.99%,-,22.80% -17.65%,6.07%,24.51 28.94%,-16.95%,0.77 (2.45%),19.57,5.44% 11.00%,2.84%,2.34%,-57.95%,1.00 (3.16%),0.20,-51.27%,0.27%,0.85,8.42%,0.89,13.13%,1.49%,68.84,1.48,17.77% -,1.22,-130.19%,8.29%,0.43,54.61%,0.48,2.94%,12.36%,1.00,31.33,0.38,3.07%,10.58M,31.60,"May 22, 2014",-17.79% 0.24%,"

","10,601,020",0.86%
LVS,Las Vegas Sands Corp,Consumer Cyclical,Resorts & Casinos,24.52,2.35,7.84%,38.25B,15.29,6.88%,4.08%,-4.90%,2.94,9.99%,2.46,17.56%,24.47,7.64%,-11.45%,9.96,72.73%,70.45 -18.19%,75.89%,23.13,- -,9.91%,32.13 79.37%,-0.91%,1.14 (1.99%),10.93,46.86% 34.66%,2.17%,2.55%,-5.51%,1.05 (1.82%),3.90,20.16%,23.73%,1.50,13.15%,1.13,15.22%,12.50%,64.68,1.65,- 4.83%,1.14,30.02%,6.14%,0.89,42.59%,10.04,26.00%,4.39%,0.86,56.71,9.32,1.38%,4.74M,57.64,"Dec 15, 2004",11.07% 9.12%,"

","4,095,381",1.64%
MSTR,Strategy Inc,Technology,Software - Application,-,-18.39,29.45%,57.55B,51.47,18.47%,11.03%,-2.57%,120.59,575.53%,1.70,-43.89%,1.18,-8.80%,9.59%,24.98,-11.11%,457.22 -63.58%,-47.50%,-,-5.47% -187.39%,-7.14%,104.17 59.86%,431.96%,-,-,-1.49% -0.15%,7.43%,5.66%,140.07%,-,147.54,-146.35%,-8.57%,9.33,794.45%,5.62,2.97%,-886.60%,71.95,1.33,- -,5.62,-1318.08%,25.06%,3.59,-,0.16,1.90%,24.64%,2.46,148.94,0.16,-31.24%,21.17M,166.52,"Jun 11, 1998",-53562.50% 3.25%,"

","51,963,053",11.80%
NVAX,"Novavax, Inc",Healthcare,Biotechnology,3.71,2.38,8.87%,1.44B,-,-11.69%,28.99%,13.62%,1.28,-116.19%,9.28,-0.79%,-,31.61%,31.55%,1.93,-,11.97 -26.15%,47.33%,-,- -,319.27%,5.80 52.41%,-6.55%,-,1.65,-17.24% 18.76%,3.79%,4.99%,-96.11%,-,0.87,323.82%,50.14%,0.48,-91.92%,2.10,64.69%,39.19%,51.11,2.44,- -,2.13,120.98%,3.40%,2.51,0.00%,-,66.61%,-3.62%,0.51,8.64,-,8.71%,4.85M,8.84,"Dec 05, 1995",122.69% 63.77%,"

","2,451,245",2.31%
NVO,Novo Nordisk ADR,Healthcare,Drug Manufacturers - General,11.68,3.47,8.00%,136.52B,12.20,8.20%,0.59%,-29.06%,2.92,-11.20%,0.88,-28.56%,5.90,20.59%,-20.36%,32.20,61.25%,81.44 -50.25%,-30.23%,15.25,26.28% 20.36%,31.38%,35.12 15.38%,-52.63%,1.70 (4.18%),6.76,23.19% 19.21%,2.53%,2.63%,12.29%,1.80 (4.44%),3.27,5.57%,41.17%,1.20,44.38%,0.57,11.11%,33.03%,59.86,2.51,26.98% 19.93%,0.80,3.95%,8.02%,0.76,36.87%,0.67,0.66%,0.88%,0.58,40.93,0.61,-21.31%,22.68M,40.52,"Apr 30, 1981",3.40% 3.10%,"

","13,142,399",-1.00%
ORCL,Oracle Corp,Technology,Software - Infrastructure,31.43,5.57,26.77%,503.48B,21.94,14.49%,1.62%,-7.79%,7.86,24.02%,0.94,-42.34%,15.01,7.97%,-10.18%,12.87,58.71%,345.72 -49.36%,36.11%,-,21.66% 7.13%,8.64%,121.24 44.40%,83.14%,1.89 (1.08%),21.93,10.59% 8.00%,6.08%,4.50%,121.74%,2.00 (1.14%),9.86,29.81%,32.27%,8.41,326.77%,1.35,14.87%,25.26%,66.96,1.57,9.92% 12.11%,1.35,24.34%,16.42%,1.65,39.16%,4.21,21.66%,15.50%,1.52,178.34,3.87,-18.72%,29.58M,175.06,"Mar 12, 1986",5.31% 1.56%,"

","44,922,726",-1.84%
PDD,PDD Holdings Inc ADR,Consumer Cyclical,Internet Retail,11.25,9.32,4.61%,145.88B,7.40,4.04%,1.87%,-2.48%,2.43,13.35%,3.38,-17.86%,2.65,17.37%,-7.58%,2.05,27.05%,139.41 -24.83%,11.85%,-,38.72% -,23.14%,92.27 13.57%,51.98%,-,-,45.79% 47.45%,2.57%,3.35%,-21.39%,-,1.26,-12.32%,21.92%,3.41,-,2.36,9.87%,23.01%,57.75,1.62,- -,2.45,-9.60%,4.00%,0.06,0.00%,0.01,13.59%,2.60%,1.48,103.71,0.01,-9.07%,7.52M,104.79,"Jul 26, 2018",-14.98% -0.33%,"

","11,120,817",1.04%
QCOM,"Qualcomm, Inc",Technology,Semiconductors,28.14,4.84,6.36%,145.33B,12.39,4.39%,4.09%,-15.61%,3.24,-8.27%,3.84,-16.43%,6.34,9.88%,-20.37%,12.29,21.48%,205.95 -33.87%,-0.34%,11.24,-23.90% 2.08%,14.16%,121.99 11.65%,14.09%,3.65 (2.68%),10.78,0.06% 13.48%,2.34%,2.49%,-1.45%,3.56 (2.61%),3.31,-48.23%,27.20%,3.45,166.74%,1.74,10.25%,11.96%,60.87,2.65,6.76% 6.50%,2.51,-1.77%,5.35%,1.26,69.40%,0.64,5.00%,1.19%,0.84,134.47,0.64,-13.30%,11.34M,136.20,"Dec 13, 1991",3.32% 1.08%,"

","9,580,976",1.29%
TEAM,Atlassian Corporation,Technology,Software - Application,-,-0.72,17.13%,17.72B,12.11,-8.89%,7.07%,-47.89%,3.08,28.94%,1.70,-55.33%,11.17,-3.26%,-58.71%,11.31,-13.47%,242.00 -72.34%,-66.98%,13.34,21.81% 7.30%,-6.87%,56.01 19.51%,-59.78%,-,-,23.00% 26.43%,7.63%,6.54%,-71.49%,-,3.02,45.86%,-1.99%,4.72,196.06%,0.89,20.12%,-3.29%,46.27,1.56,- -,0.89,-10.46%,1.11%,0.93,-,0.76,23.31%,-10.20%,3.44,68.73,0.73,-52.52%,6.96M,66.94,"Dec 10, 2015",6.53% 1.87%,"

","23,907,354",-2.60%
