date,timestamp,open,high,low,close,volume
2020-10-01,00:00:00,3354.443,3367.2,3353.643,3366.934,6.08727983507561
2020-10-01,01:00:00,3367.04,3371.155,3365.934,3370.955,3.89609989349265
2020-10-01,02:00:00,3371.452,3373.0,3365.14,3365.643,7.58945979253622
2020-10-01,03:00:00,3365.449,3381.443,3365.346,3379.655,8.11591977765784
2020-10-01,04:00:00,3379.846,3382.146,3377.134,3380.143,3.96332989184884
2020-10-01,05:00:00,3380.44,3381.5,3375.937,3378.152,1.91416994773317
2020-10-01,06:00:00,3378.137,3381.455,3376.134,3376.949,2.59757992869709
2020-10-01,07:00:00,3376.634,3380.5,3374.649,3380.143,3.99799989117309
2020-10-01,08:00:00,3380.155,3391.2,3379.434,3389.643,4.46363987878431
2020-10-01,09:00:00,3389.652,3392.7,3383.452,3386.855,11.5075396848843
2020-10-01,10:00:00,3386.949,3391.2,3375.652,3379.149,10.5359597112401
2020-10-01,11:00:00,3379.149,3394.149,3378.534,3392.637,5.82793984096497
2020-10-01,12:00:00,3392.934,3396.155,3388.14,3391.1,5.50906984950416
2020-10-01,13:00:00,3390.952,3397.346,3389.455,3395.14,6.65512981830398
2020-10-01,14:00:00,3395.44,3396.149,3385.955,3386.434,9.94445972784888
2020-10-01,15:00:00,3386.446,3397.052,3376.54,3377.3,20.4437594492338
2020-10-01,16:00:00,3377.443,3383.8,3365.543,3376.04,24.8432593327598
2020-10-01,17:00:00,3376.037,3386.252,3367.743,3382.543,23.0861993762082
2020-10-01,18:00:00,3382.552,3384.3,3372.734,3382.046,12.9885496486677
2020-10-01,19:00:00,3382.246,3387.055,3369.049,3372.237,12.8976296510082
2020-10-01,20:00:00,3372.549,3382.052,3360.534,3379.737,28.5809092335403
2020-10-01,21:00:00,3379.549,3384.1,3368.6,3380.537,21.1990294274292
2020-10-01,22:00:00,3380.74,3385.155,3377.44,3378.143,2.48991993186064
2020-10-02,00:00:00,3379.64,3385.5,3372.64,3382.455,7.01391980849439
2020-10-02,01:00:00,3382.552,3383.0,3375.937,3377.952,3.77652989706257
2020-10-02,02:00:00,3377.94,3382.849,3365.937,3368.455,9.43904974253383
2020-10-02,03:00:00,3368.64,3373.443,3367.652,3369.5,4.52974987623747
2020-10-02,04:00:00,3369.449,3370.955,3362.437,3365.937,4.07720988860819
2020-10-02,05:00:00,3366.14,3373.143,3364.434,3373.14,3.49258990510134
