date,timestamp,open,high,low,close,volume
2019-10-01,00:00:00,2982.57,2985.369,2981.369,2981.569,0.246867993366322
2019-10-01,01:00:00,2981.869,2983.87,2981.069,2981.569,0.437761994151515
2019-10-01,02:00:00,2981.87,2986.57,2980.57,2986.07,1.30073997889122
2019-10-01,03:00:00,2986.37,2990.57,2986.07,2988.07,1.6678739744093
2019-10-01,04:00:00,2988.369,2988.87,2987.37,2987.57,0.667875988132437
2019-10-01,05:00:00,2987.869,2989.57,2986.87,2989.069,0.540318992112589
2019-10-01,06:00:00,2988.87,2990.07,2987.57,2988.07,0.826934990858717
2019-10-01,07:00:00,2988.069,2989.07,2987.37,2987.87,0.752601994550787
2019-10-01,08:00:00,2988.07,2991.87,2987.37,2990.57,1.22926097471645
2019-10-01,09:00:00,2990.57,2992.57,2986.37,2986.57,1.65968595426966
2019-10-01,10:00:00,2986.869,2990.07,2983.37,2985.87,1.6936889677163
2019-10-01,11:00:00,2986.07,2986.07,2981.57,2984.07,1.90798597182493
2019-10-01,12:00:00,2984.07,2985.87,2981.87,2982.37,1.09203198546311
2019-10-01,13:00:00,2982.57,2984.37,2981.07,2982.87,0.897693987819366
2019-10-01,14:00:00,2982.87,2987.37,2981.87,2985.57,0.884141989168711
2019-10-01,15:00:00,2985.37,2992.469,2984.07,2989.67,2.86603694740188
2019-10-01,16:00:00,2985.67,2985.969,2961.67,2962.17,10.4259197357314
2019-10-01,17:00:00,2962.17,2964.47,2953.67,2955.47,4.79876886383863
2019-10-01,18:00:00,2955.469,2955.47,2946.469,2948.47,4.2183239291262
2019-10-01,19:00:00,2948.469,2948.97,2938.47,2939.97,3.86206494525868
2019-10-01,20:00:00,2940.069,2949.47,2937.67,2946.17,3.05255995518746
2019-10-01,21:00:00,2946.17,2949.67,2938.87,2939.87,4.93449593178593
2019-10-01,22:00:00,2940.07,2942.07,2936.47,2937.47,0.931588985284179
2019-10-02,00:00:00,2942.369,2944.47,2938.87,2943.97,1.14539798075566
2019-10-02,01:00:00,2944.27,2945.27,2942.269,2945.27,0.701151990331709
2019-10-02,02:00:00,2944.97,2948.27,2941.969,2944.27,1.62047397601418
2019-10-02,03:00:00,2944.469,2945.77,2940.97,2941.97,1.99891996977385
2019-10-02,04:00:00,2942.27,2943.27,2939.97,2942.27,0.799015987664461
2019-10-02,05:00:00,2942.47,2944.77,2942.269,2944.27,0.6358369893278
2019-10-02,06:00:00,2944.469,2944.469,2941.969,2942.97,0.390895994845778
2019-10-02,07:00:00,2943.269,2944.97,2941.77,2942.77,0.633706991560757
2019-10-02,08:00:00,2942.97,2943.27,2937.97,2940.47,1.22787798231002
2019-10-02,09:00:00,2940.269,2941.47,2925.27,2927.77,4.22844890613396
2019-10-02,10:00:00,2927.77,2929.27,2921.47,2923.77,2.53501691389067
2019-10-02,11:00:00,2923.769,2925.77,2916.47,2919.97,2.47774694144243
2019-10-02,12:00:00,2920.07,2920.969,2916.97,2917.97,1.21845898426545
2019-10-02,13:00:00,2918.27,2925.27,2918.27,2924.769,1.20753598306328
2019-10-02,14:00:00,2924.769,2926.97,2919.469,2919.77,2.6975379663636
2019-10-02,15:00:00,2919.97,2923.47,2900.869,2905.57,6.67301992099135
2019-10-02,16:00:00,2905.57,2907.87,2887.469,2891.47,8.70057393122954
2019-10-02,17:00:00,2891.469,2895.97,2882.17,2889.47,7.58641581349627
2019-10-02,18:00:00,2889.47,2889.669,2873.67,2876.97,3.94130190147121
2019-10-02,19:00:00,2876.97,2884.97,2874.669,2880.17,4.38372590077779
2019-10-02,20:00:00,2880.17,2892.67,2877.67,2891.97,4.07709590873128
2019-10-02,21:00:00,2892.169,2896.67,2883.97,2888.97,6.93714584485133
2019-10-02,22:00:00,2888.97,2889.97,2879.87,2881.07,1.43861596619536
2019-10-03,00:00:00,2883.969,2887.27,2882.469,2886.27,1.5765859634339
2019-10-03,01:00:00,2886.47,2890.97,2885.47,2885.77,1.48505596647738
2019-10-03,02:00:00,2885.77,2887.97,2881.77,2883.97,2.52670594223309
2019-10-03,03:00:00,2883.97,2889.77,2883.77,2888.47,2.28987794836576
2019-10-03,04:00:00,2888.47,2891.969,2887.07,2888.47,1.75442995853518
2019-10-03,05:00:00,2888.769,2890.97,2887.469,2887.97,1.13763997362548
2019-10-03,06:00:00,2888.27,2888.47,2885.77,2886.77,0.918281978578307
2019-10-03,07:00:00,2886.97,2888.77,2885.969,2887.27,0.979509978154965
2019-10-03,08:00:00,2886.97,2892.27,2881.27,2891.469,2.56407794206461
2019-10-03,09:00:00,2891.469,2894.27,2887.969,2891.27,4.08807991047797
2019-10-03,10:00:00,2890.969,2894.269,2886.77,2890.27,2.59530393870227
2019-10-03,11:00:00,2890.27,2892.77,2887.97,2891.77,1.79806095222011
2019-10-03,12:00:00,2891.769,2892.77,2884.97,2885.47,1.91523395001423
2019-10-03,13:00:00,2885.47,2887.97,2877.97,2880.27,2.16779394201876
2019-10-03,14:00:00,2880.27,2885.77,2879.97,2882.27,2.48765993332199
2019-10-03,15:00:00,2882.469,2891.57,2880.969,2890.37,6.18968983862578
2019-10-03,16:00:00,2889.47,2889.47,2855.07,2881.37,16.5945935741613
2019-10-03,17:00:00,2881.37,2902.07,2878.369,2888.37,11.9200436950778
2019-10-03,18:00:00,2888.669,2903.67,2888.369,2902.67,7.17971781431697
2019-10-03,19:00:00,2902.87,2908.67,2899.369,2907.67,5.08242886827793
2019-10-03,20:00:00,2907.67,2909.87,2904.17,2904.87,3.44731291034259
2019-10-03,21:00:00,2905.169,2911.67,2898.17,2911.17,3.99225089239189
2019-10-03,22:00:00,2911.67,2912.97,2911.069,2912.37,0.705999980738852
2019-10-04,00:00:00,2912.069,2912.57,2909.37,2909.37,0.997925973497331
2019-10-04,01:00:00,2909.37,2910.37,2907.069,2907.37,0.487858986365609
2019-10-04,02:00:00,2907.569,2910.07,2906.37,2908.07,1.33686296385713
2019-10-04,03:00:00,2908.369,2909.57,2905.869,2908.07,1.50366896175547
2019-10-04,04:00:00,2908.37,2910.07,2907.069,2907.37,0.771216979774181
2019-10-04,05:00:00,2907.37,2908.87,2906.57,2908.069,0.682828981371131
2019-10-04,06:00:00,2908.369,2910.87,2908.07,2910.87,0.393597989401314
2019-10-04,07:00:00,2911.07,2918.569,2910.57,2913.07,1.34523496439215
2019-10-04,08:00:00,2913.07,2913.07,2904.87,2907.07,2.71801291633165
2019-10-04,09:00:00,2907.07,2910.37,2903.87,2908.07,4.36845586547861
