Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,KO,PEP,KO,PEP,KO,PEP,KO,PEP,KO,PEP
Date,,,,,,,,,,
2015-01-02,29.992597579956055,68.54855346679688,30.177650725538324,69.20180715313839,29.750606884621657,68.26547539265218,30.078005262114885,68.90421466856422,9921100,3545700
2015-01-05,29.992597579956055,68.033203125,30.58334060961934,68.99131476638053,29.949895096407275,68.02594315122981,30.384052397833724,68.55580494396784,26292600,6441000
2015-01-06,30.22035789489746,67.51787567138672,30.561991391565943,68.67922825222108,30.06377757250463,67.45981247253661,30.184771581401897,68.2872725868504,16897500,6195000
2015-01-07,30.597583770751953,69.49215698242188,30.682991475506334,69.84782378222334,30.305771624034332,68.54130511256994,30.462351963573703,69.0493926298026,13412300,6526300
2015-01-08,30.96767234802246,70.75511169433594,31.010377540855988,71.06722411302253,30.675860317978927,70.17443562402774,30.732800575090295,70.21798439109276,21743600,7131600
2015-01-09,30.626056671142578,70.27606201171875,31.003279305118735,70.89302695352296,30.569119096147336,70.10911582058348,30.939222836335045,70.8059294083551,12733500,4061500
2015-01-12,30.34846305847168,69.98570251464844,30.747036727169753,70.65347599928396,30.220350190499477,69.81876191235776,30.65451016362072,70.37039798867245,11415800,4192700
2015-01-13,30.341352462768555,69.93492126464844,30.775512515722994,70.76238124201652,30.213239571239,69.55022563945398,30.483700421697115,70.16719063482651,12529500,5371300
2015-01-14,30.29153060913086,70.16716766357422,30.319998028420724,70.26153069845755,29.942778250980858,69.28889922206059,29.94989714209941,69.28889922206059,13447600,5127800
2015-01-15,30.16341781616211,70.16716766357422,30.505051284287095,70.63896622478052,30.01395096786999,69.95667275049027,30.48370004098599,70.50831440071934,11193100,4424000
2015-01-16,30.270170211791992,70.6172103881836,30.312875404234756,70.71882788494572,30.063768569304155,69.9276567598826,30.14917623912881,70.15993165275403,15114900,4404400
2015-01-20,30.718564987182617,70.77690124511719,30.839561673951316,71.37209185274857,30.32711022892783,70.28332814090541,30.391166659555765,71.37209185274857,17047300,7029500
2015-01-21,30.860925674438477,70.69702911376953,30.910747061633934,71.2922194771174,30.433881721969165,70.11635315735079,30.526408318930145,70.42120554248928,10720600,5031100
2015-01-22,31.159849166870117,71.78579711914062,31.195438193688307,71.85838023405192,30.654516480765846,70.43573013839101,30.868037066367215,70.75510248928477,14709100,7620400
2015-01-23,30.825336456298828,71.51724243164062,31.13849981992269,71.85112923210892,30.732809868045205,71.20513001459067,31.03173816308684,71.39385056711184,12357700,4857700
2015-01-26,30.604686737060547,71.63337707519531,30.768385898451477,71.82209208264214,30.483692767143214,70.8930148413319,30.732799596420545,71.27045593169991,11151900,4298700
2015-01-27,30.1705322265625,70.20345306396484,30.348466483822303,71.16882444468241,29.999716860027416,69.13646422609133,30.2772938669429,70.87848647949282,15274000,7365300
2015-01-28,29.836021423339844,69.47762298583984,30.462350904916455,70.96559631702748,29.821789068927046,69.43407422170604,30.312886748025115,70.55912641781322,14278500,6280100
2015-01-29,29.964122772216797,69.70263671875,29.99971178970281,70.02926908358918,29.515730474550104,68.8606625118218,29.729251004161984,69.4776273728682,13657900,4600300
2015-01-30,29.302207946777344,68.06950378417969,29.84312953109304,69.19456179196898,29.259505468846726,67.9098175598237,29.771956924501406,69.034875567613,19193700,7741500
2015-02-02,29.601144790649414,69.19454956054688,29.629614925007175,69.27439265861112,29.110047190754575,67.93883991277617,29.330683944373593,68.12756046617689,15197500,6889500
2015-02-03,29.629621505737305,69.82604217529297,29.786201849358537,70.08734590293305,29.444568306373053,69.37602339593165,29.715029212718164,69.69539031147293,13193100,5090400
2015-02-04,29.665203094482422,70.11634826660156,29.957015202283117,70.60266116198262,29.622497890269532,69.70261847627597,29.729259543270945,69.70261847627597,16400000,5064700
