Ticker,TLT,TLT,TLT,TLT,TLT
Price,Open,High,Low,Close,Volume
Date,,,,,
2015-01-02,95.36954471580137,96.40412019488714,95.26382234701151,96.1473617553711,9432000
2015-01-05,96.66841112065411,97.89178301163771,96.63065642765703,97.65768432617188,9789500
2015-01-06,98.69978810583561,100.05153614115795,98.31465917748696,99.41719055175781,18331300
2015-01-07,98.69980663248381,99.65886691588965,98.29957114469899,99.22087097167969,9762900
2015-01-08,98.44303872428688,98.450586205254,97.73318373573963,97.90686798095703,8055300
2015-01-09,97.56700227434376,99.00936555643953,97.44617349699338,98.97916412353516,9398800
2015-01-12,98.92638439181772,99.91564639207564,98.86596994990195,99.54562377929688,6658100
2015-01-13,99.22089759435922,100.14219766854062,99.03210678445116,99.54562377929688,8260800
2015-01-14,100.98039279306134,101.282453370485,100.21012334089684,100.30075073242188,12324500
2015-01-15,100.32340212247865,101.96965181603191,100.19501428135558,101.87903594970703,11454200
2015-01-16,101.44103202004156,101.70533211683811,100.45931796211002,100.58014678955078,9390500
2015-01-20,101.28998446289559,102.03004073966126,101.24467654105452,101.9167709350586,7758700
2015-01-21,102.0979960487581,102.39250904463184,100.4064389536346,100.73870086669922,9803900
2015-01-22,101.1918669918477,101.32779083443847,99.89298538922677,100.37628936767578,10200000
2015-01-23,101.41835750521433,102.03758495535175,101.3050761813657,101.77328491210938,7334600
2015-01-26,101.82618200463537,102.09049367896979,101.22960827042506,101.46370697021484,5966500
2015-01-27,102.49828728756576,102.80035944998721,101.30512817246925,101.62230682373047,8079600
2015-01-28,101.75818309296771,103.76691882340846,101.72042264995488,103.28361511230469,12230300
2015-01-29,102.79278703265913,103.20812900000185,102.29438819472115,102.60399627685547,8881400
2015-01-30,103.99353602373567,104.5901099200006,103.59328890097356,104.4239730834961,14871200
2015-02-02,103.43952209556102,104.36268483179218,103.40925957546618,104.02973937988281,13689900
2015-02-03,102.64495828624686,102.75089438766335,101.67639634581923,101.82774353027344,14008700
2015-02-04,101.01054617358717,102.14558110523335,100.73056303905055,102.0018081665039,11360400
2015-02-05,101.39644053169987,101.5704759653563,100.72298702285109,100.88189697265625,8334600
2015-02-06,99.9208581809131,100.14786735695064,98.81608634881914,99.0960693359375,13685600
2015-02-09,99.8603650369124,99.86792777913995,98.93720245361328,98.93720245361328,8025500
2015-02-10,98.47562441500114,98.72533347081499,97.94594378729224,98.15025329589844,8290700
2015-02-11,98.14266805876048,98.57398680146012,97.58272497743587,98.33184051513672,6506400
2015-02-12,98.11236001475713,98.77823890078919,97.95345014483188,98.00642395019531,12548300
2015-02-13,97.99884696276324,98.01398398475885,96.92434932437031,97.0000228881836,8325200
2015-02-17,96.70496059984364,96.80332819741545,95.28238005384578,95.53965759277344,14968800
2015-02-18,95.9633591101892,96.65951204253162,95.69851894822008,96.10713195800781,14009200
2015-02-19,95.9331312242909,96.44011200107224,95.47154998779297,95.47154998779297,8584800
2015-02-20,96.13744694502643,96.86386272907528,95.34292029995929,95.75153350830078,12502500
2015-02-23,96.24337599858796,96.98492875801968,96.2206762286379,96.84872436523438,7500500
2015-02-24,96.59142370752376,98.2107331346638,96.23577868982444,98.11993408203125,11958300
2015-02-25,97.96102046646361,98.66473610697972,97.673474783071,98.54366302490234,8019800
2015-02-26,98.14264705257601,98.59666546917029,97.15894818073367,97.19678497314453,11020500
2015-02-27,97.62812280891875,98.08212976856426,97.06060544973417,98.01403045654297,9225100
2015-03-02,97.80320438171508,97.85628144093045,96.11249528024153,96.18831634521484,11324000
2015-03-03,96.20348478169916,96.56740625593704,95.81681929988433,95.83956909179688,8599000
2015-03-04,96.2414160119408,96.31723131494499,95.65004855043657,95.86991119384766,6478900
2015-03-05,95.93059227276385,96.19594879881238,95.45295052587647,95.7486343383789,6045000
2015-03-06,94.52034401452745,94.64165308173116,93.23146698932891,93.63329315185547,20022900
2015-03-09,94.52796216568943,94.67201529007728,94.11096932369135,94.49763488769531,8889100
2015-03-10,95.5059834281527,95.86232167027941,95.34676957654344,95.74101257324219,9277900
2015-03-11,95.72585921336312,96.63565437398695,95.61971663743489,96.43852996826172,6663100
2015-03-12,97.196704604075,97.196704604075,96.07462417529788,96.37030792236328,10295900
2015-03-13,96.10495801911831,96.73423031765405,95.90025031296071,96.07463073730469,7247200
