Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BNB-USD,BTC-USD,DOGE-USD,EQQQ.DE,ETH-USD,IWDE.MI,MC.PA,META,RACE,TSLA,BNB-USD,BTC-USD,DOGE-USD,EQQQ.DE,ETH-USD,IWDE.MI,MC.PA,META,RACE,TSLA,BNB-USD,BTC-USD,DOGE-USD,EQQQ.DE,ETH-USD,IWDE.MI,MC.PA,META,RACE,TSLA,BNB-USD,BTC-USD,DOGE-USD,EQQQ.DE,ETH-USD,IWDE.MI,MC.PA,META,RACE,TSLA,BNB-USD,BTC-USD,DOGE-USD,EQQQ.DE,ETH-USD,IWDE.MI,MC.PA,META,RACE,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,13.689083099365234,7200.17431640625,0.00203300011344254,,130.802001953125,,,,,,13.873946189880371,7254.33056640625,0.0020520000252872705,,132.83535766601562,,,,,,13.65494155883789,7174.9443359375,0.0020210000220686197,,129.1982879638672,,,,,,13.730961799621582,7194.89208984375,0.0020280000753700733,,129.6306610107422,,,,,,172980718,18565664997,51180941,,7935230330,,,,,
2020-01-02,13.027010917663574,6985.47021484375,0.0020089999306946993,187.76107788085938,127.4101791381836,57.29999923706055,383.3973083496094,208.49468994140625,161.78036499023438,28.68400001525879,13.715547561645508,7212.1552734375,0.0021100000012665987,188.67870226980352,130.82003784179688,57.459999084472656,385.5468634678556,208.5046232125284,162.03382912982065,28.713333129882812,12.989974021911621,6935.27001953125,0.0019829999655485153,186.99964804652967,126.95491027832031,57.189998626708984,380.8818780422865,205.0062009498093,159.9754547922222,28.11400032043457,13.698125839233398,7202.55126953125,0.00203399988822639,186.99964804652967,130.82003784179688,57.25,382.345406713081,205.483255773762,160.3786798784615,28.299999237060547,156376427,20802083465,65071106,4054.0,8032709256,20450.0,347226.0,12077100.0,195800.0,142981500.0
2020-01-03,13.660451889038086,7344.88427734375,0.002145000034943223,188.28823852539062,134.1717071533203,57.15999984741211,383.3515930175781,207.3914794921875,160.0714111328125,29.534000396728516,13.76370906829834,7413.71533203125,0.002177000045776367,188.91300187401998,134.55401611328125,57.20000076293945,383.3515930175781,209.1108755558181,161.05068017520566,30.266666412353516,13.012638092041016,6914.99609375,0.0019910000264644623,187.1948914936394,126.49002075195312,56.689998626708984,378.7780832653152,205.6820166991645,159.62787097698595,29.128000259399414,13.03532886505127,6984.4287109375,0.002007999923080206,187.9368082108158,127.41126251220703,56.97999954223633,381.4307133387301,205.94043338794853,160.10021187087622,29.366666793823242,173683857,28111481032,62619988,11704.0,10476845358,14491.0,291716.0,11188400.0,134600.0,266677500.0
2020-01-04,13.891511917114258,7410.65673828125,0.0022410000674426556,,135.06936645507812,,,,,,13.921914100646973,7427.3857421875,0.0024900001008063555,,136.05271911621094,,,,,,13.56000804901123,7309.51416015625,0.002050000010058284,,133.04055786132812,,,,,,13.667442321777344,7345.37548828125,0.0021440000273287296,,134.16851806640625,,,,,,182230374,18444271275,94227582,,7430904515,,,,,
2020-01-05,14.111019134521484,7411.3173828125,0.0024190000258386135,,136.2767791748047,,,,,,14.41080093383789,7544.4970703125,0.002491000108420849,,139.4102020263672,,,,,,13.886547088623047,7400.53564453125,0.0021170000545680523,,135.04562377929688,,,,,,13.88833999633789,7410.45166015625,0.002240000059828162,,135.0720977783203,,,,,,202552703,19725074095,52631740,,7526675353,,,,,
2020-01-06,14.957807540893555,7769.21923828125,0.0024629998952150345,188.28823852539062,144.3041534423828,57.060001373291016,379.7385559082031,211.2974395751953,159.22659301757812,30.1026668548584,15.003564834594727,7781.8671875,0.002563999965786934,188.28823852539062,144.32818603515625,57.11000061035156,380.69900982314084,211.47632946439103,159.6490087997989,30.104000091552734,14.11124038696289,7409.29296875,0.0023789999540895224,186.17965663794166,136.0796356201172,56.599998474121094,373.74726856077154,205.25468895133676,158.18011230306655,29.333332061767578,14.11124038696289,7410.4521484375,0.00241800001822412,187.3706140986934,136.3055419921875,56.90999984741211,379.6013561816382,205.43357884053248,158.18011230306655,29.364667892456055,224800409,23276261598,54562409,2839.0,9093747121,8776.0,363953.0,17058900.0,169900.0,151995000.0
2020-01-07,15.009249687194824,8163.6923828125,0.002432999899610877,190.08441162109375,143.5439910888672,57.27000045776367,380.5159606933594,211.75457763671875,158.62173461914062,31.270666122436523,15.135274887084961,8178.2158203125,0.0024969999212771654,190.3382165848715,145.00177001953125,57.43000030517578,385.592544676239,213.26526883360782,159.4857861380381,31.441999435424805,14.568403244018555,7768.2275390625,0.0023539999965578318,189.0301207864658,140.48887634277344,57.119998931884766,379.96713401330857,210.45260644126304,158.58332386530813,30.224000930786133,14.966209411621094,7768.68212890625,0.0024850000627338886,189.12774610089735,144.31199645996094,57.27000045776367,381.97948920199997,211.51605782399304,159.35137779844493,30.760000228881836,191948560,28767291327,52767343,16073.0,9257954672,29297.0,363885.0,14912400.0,309300.0,268231500.0
2020-01-08,14.602933883666992,8079.86279296875,0.0022929999977350235,190.9044189453125,141.2581329345703,57.41999816894531,383.0771484375,213.9013671875,161.80914306640625,32.80933380126953,15.242218971252441,8396.73828125,0.0024649999104440212,190.9044189453125,146.8280029296875,57.439998626708984,383.0771484375,214.91512198342505,162.22197810957877,33.232666015625,14.33795166015625,7956.7744140625,0.002265000017359853,189.01060096897416,138.26820373535156,56.97999954223633,378.27496341381976,211.3073578215122,160.0906353456183,31.215333938598633,15.022263526916504,8161.935546875,0.002432999899610877,189.08869824481135,143.48782348632812,57.09000015258789,379.32689294107263,211.69496771917474,160.36904739613084,31.579999923706055,183632222,31672559265,77251526,9790.0,9387194957,46813.0,360741.0,13475000.0,261400.0,467164500.0
2020-01-09,14.498313903808594,7879.0712890625,0.0022559999488294125,193.42300415039062,138.9792022705078,57.779998779296875,388.291015625,216.96249389648438,163.12445068359375,32.089332580566406,14.611088752746582,8082.2958984375,0.0023139999248087406,193.57919870522858,141.39398193359375,57.81999969482422,388.291015625,217.04200556180393,164.170916754062,33.253334045410156,14.305362701416016,7842.40380859375,0.002145000034943223,192.7396715923903,136.2364044189453,57.689998626708984,385.4097097845325,214.95486605173915,162.25078907272797,31.524667739868164,14.589201927185059,8082.2958984375,0.0022909999825060368,192.79824082657137,141.15577697753906,57.75,386.0042605270907,216.20714065859832,163.94049615851375,33.13999938964844,169699829,24045990466,70690571,5298.0,7697325348,86707.0,378062.0,12642800.0,283500.0,426606000.0
2020-01-10,15.025826454162598,8166.55419921875,0.0023560000117868185,193.57919311523438,143.96377563476562,57.7599983215332,387.5134582519531,216.72396850585938,164.46852111816406,31.876667022705078,15.027688980102539,8166.55419921875,0.0023610000498592854,194.5749147541571,144.16732788085938,57.939998626708984,389.93741272844994,218.53282485012502,167.5503322473046,32.3293342590332,14.182085037231445,7726.77490234375,0.0021989999804645777,193.57919311523438,135.52040100097656,57.75,386.5987563427478,216.08789032041105,163.52766273098592,31.579999923706055,14.478408813476562,7878.3076171875,0.002254999941214919,194.1453871885225,138.967041015625,57.86000061035156,388.9312629599136,217.85698324760483,167.45432001111053,32.11933135986328,200173072,28714583844,87683356,4048.0,9084816203,42435.0,268887.0,12119400.0,602200.0,194392500.0
