Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,MTUM,QUAL,SIZE,USMV,VLUE,MTUM,QUAL,SIZE,USMV,VLUE,MTUM,QUAL,SIZE,USMV,VLUE,MTUM,QUAL,SIZE,USMV,VLUE,MTUM,QUAL,SIZE,USMV,VLUE
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,118.41751861572266,94.60735321044922,89.81291198730469,59.73472213745117,77.54548645019531,118.78410663567188,94.60735321044922,89.99663904207715,60.0260219249293,77.63135758467382,117.80653619200471,94.00375874826669,89.33523566183732,59.488933818092725,77.09898668572693,118.62430615739557,94.36591825948608,89.99663904207715,60.0260219249293,77.50255743400386,777600,1885300,72300,4728600,742900
2020-01-03,118.39869689941406,93.99447631835938,89.39036560058594,59.77113723754883,76.71259307861328,118.74648860601083,94.30092118024444,89.52815916317326,59.907678591059835,76.97878182736207,117.3741323791743,93.52088035769837,88.96780381486411,59.37059741355661,76.60096976529823,117.47752971974613,93.72517693228842,88.96780381486411,59.49804064025687,76.74694022525985,661700,826800,78900,3191200,276000
2020-01-06,118.53028869628906,94.21734619140625,89.51896667480469,59.85307312011719,76.59236145019531,118.55848666626227,94.2359224725098,89.51896667480469,59.87127632224055,76.60094987238868,117.75951310759363,93.33516412792333,88.85757022200994,59.561773270189754,76.10292620192048,117.75951310759363,93.43731241966668,88.85757022200994,59.643698097449224,76.10292620192048,637500,767600,69000,2627500,400300
2020-01-07,118.2388916015625,94.08734130859375,89.47303009033203,59.60728073120117,76.70399475097656,118.63367749558701,94.28234975307443,89.62000472714068,59.816648770229314,76.82420646292798,118.09789459043779,93.83661818991158,89.24337652593614,59.543559117783694,76.3691183318195,118.35169064474346,94.0687721121184,89.39035116274479,59.816648770229314,76.6267120498381,480100,3601600,128900,3676600,341800
2020-01-08,118.86869049072266,94.46807861328125,89.76700592041016,59.73472213745117,76.87572479248047,119.33867582739549,94.9045220426174,90.11607689125746,59.98050351167485,77.19343092122533,118.28590609154179,94.05019729593413,89.39955873566598,59.616377041043485,76.43780695038286,118.28590609154179,94.10591197100352,89.53735230600407,59.616377041043485,76.6782369281354,737400,701900,364300,3759200,319300
2020-01-09,119.90265655517578,95.23883056640625,90.18036651611328,60.10795211791992,77.01310729980469,120.08125327760135,95.23883056640625,90.20792382448128,60.144365462757726,77.16766614069174,119.52667402372188,94.89524726770262,89.88641021273605,59.88037392153517,76.71257148899072,119.53606856702326,95.0252529079866,90.07931837978319,59.88037392153517,77.16766614069174,1265800,1218200,244600,4662600,652400
2020-01-10,119.90265655517578,95.10882568359375,89.8680419921875,60.080631256103516,76.68681335449219,120.36324734759887,95.62885533364734,90.36409457364647,60.26269099700784,77.18483701790315,119.78046294959397,94.97882004227438,89.77618196046647,60.00780458168822,76.5837784938186,120.25985000002692,95.42455873020944,90.36409457364647,60.23538273038558,77.0989724503263,600500,676700,218600,3603200,179800
2020-01-13,121.02120971679688,95.89813232421875,90.49270629882812,60.44477844238281,76.92724609375,121.02120971679688,95.89813232421875,90.49270629882812,60.44477844238281,76.93583451686325,120.13763509469415,95.22953502649108,89.91397474273356,60.12617031380956,76.54944064038284,120.13763509469415,95.39668612211673,90.04258019776087,60.1625767183868,76.84996993887287,483400,718700,169400,3232700,292600
2020-01-14,120.78621673583984,95.75884246826172,90.64887237548828,60.40835952758789,77.2020263671875,121.0306039175738,96.11171384296335,90.94282871321232,60.444772873946896,77.50255567790934,120.56061863844602,95.61954871240393,90.35491603776426,60.28091628789922,76.978773214488,121.02120937540373,95.86099075023911,90.47433339080241,60.43566780107322,77.00453193382877,658000,1070900,126500,4652900,398300
2020-01-15,121.81079864501953,96.0467300415039,90.79582214355469,60.82710647583008,76.9014892578125,122.07398929159423,96.26031478738867,91.1816454254067,60.94544465019904,77.31364841372128,120.86143340864753,95.7309969934277,90.56616859866492,60.453881805813424,76.69541295538188,120.8990259255234,95.7588614179331,90.63047831936525,60.481190081041944,76.96159511898175,648200,1140300,4277700,4414100,762700
2020-01-16,122.77896118164062,96.82675170898438,91.65015411376953,61.29136657714844,77.52830505371094,122.80715915359342,96.83603984931743,91.69608763641118,61.29136657714844,77.55406376994733,122.10218116914612,96.43673483229927,91.1724777172655,60.95454831844388,77.26212291787236,122.27138334367665,96.54817126197011,91.1724777172655,60.990961666287824,77.27070478925326,480900,911500,779000,4249800,447700
2020-01-17,123.49337768554688,97.09603881835938,91.75119018554688,61.55533981323242,77.59701538085938,123.54036475486738,97.14247242937579,91.86142642030066,61.58264807970088,77.77733298285709,122.85419003467135,96.84531573928402,91.6593301608207,61.364175002819344,77.43386807622173,123.00458881638527,97.08675776397556,91.7420090890037,61.409686465222144,77.77733298285709,641600,721700,375400,4102100,515400
2020-01-21,124.13253784179688,96.8360366821289,91.48479461669922,61.71010971069336,77.227783203125,124.27354206327078,97.10533606477746,91.74201250737552,61.76472625993648,77.55407122523023,123.13617111843713,96.68746186553574,91.39293458855028,61.4825314953324,77.11615335397381,123.29596442852166,96.82674854209965,91.55828544260673,61.537148044575524,77.36516521994129,589500,947400,594900,4601800,605000
2020-01-22,124.42391204833984,96.89176177978516,91.40210723876953,61.81934356689453,77.63994598388672,125.11949550224283,97.39321512370424,91.97165053054262,62.03781668713628,77.89754630688117,124.37692498944989,96.80818976485318,91.34699263289365,61.74651687843552,77.5111458223895,124.50852030853271,97.0496318381718,91.65012997368072,61.892163310218265,77.56266981761739,785600,912300,316500,4333900,375900
