Ticker,Last_Price,Quantity,Position_Value,Position_Weight
AAPL,255.6197967529297,18.0,4601.156341552734,1.0642179043002602
AMD,160.50259399414062,18.0,2889.0466918945312,0.6682179408048614
ASML,959.7000122070312,6.0,5758.2000732421875,1.3318346866734418
BNB-USD,989.4968872070312,13.09,12952.51425354004,2.995833340814039
BR50.MI,23.5049991607666,213.0,5006.564821243286,1.157986281337463
BTC-USD,112632.8125,2.1571000000000002,242960.23984375002,56.1951427165694
DOGE-USD,0.2387487143278122,40270.0,9614.410725980997,2.2237514386291304
EQQQ.DE,512.0999755859375,39.0,19971.899047851562,4.619371951709925
ETH-USD,4167.31787109375,4.31,17961.14002441406,4.154296306561697
EXXT.DE,203.6999969482422,10.1148,2060.3847291320803,0.4765537520833818
GOOGL,252.07000732421875,15.0,3781.0501098632812,0.8745326012145576
IEEM.MI,44.540000915527344,1.9418,86.487773777771,0.020004066483494766
IWDE.MI,103.98999786376953,96.0,9983.039794921875,2.309012974228251
LULU,173.42999267578125,15.0,2601.4498901367188,0.6016986480596664
MA,585.1229858398438,5.0,2925.6149291992188,0.6766759391816817
MC.PA,507.0,22.0,11154.0,2.5798485474977975
META,769.8699951171875,60.0,46192.19970703125,10.683959056832775
MSTR,335.010009765625,6.0,2010.06005859375,0.4649139790699681
NKE,71.69999694824219,79.0,5664.299758911133,1.3101161471776055
NVDA,183.15499877929688,14.0,2564.1699829101562,0.5930760450016335
PYPL,67.54000091552734,64.0,4322.56005859375,0.9997803737345421
RACE,479.2732849121094,13.0,6230.552703857422,1.4410868157750623
TSLA,433.4700012207031,16.0,6935.52001953125,1.6041412272305533
V,343.70001220703125,12.0,4124.400146484375,0.9539472590288164
