Ticker,XLRE,XLRE,XLRE,XLRE,XLRE,XLV,XLV,XLV,XLV,XLV,XLU,XLU,XLU,XLU,XLU,RSP,RSP,RSP,RSP,RSP,XLC,XLC,XLC,XLC,XLC,XLP,XLP,XLP,XLP,XLP,XLE,XLE,XLE,XLE,XLE,SPY,SPY,SPY,SPY,SPY,XLI,XLI,XLI,XLI,XLI,XLF,XLF,XLF,XLF,XLF,XLK,XLK,XLK,XLK,XLK,XLB,XLB,XLB,XLB,XLB,XLY,XLY,XLY,XLY,XLY
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-21,22.63389686082317,22.63389686082317,22.37262519336027,22.41199493408203,3400,56.8431414293927,57.242488892039326,56.74967685377361,57.12353515625,12183600,17.75677387065898,17.88130575767422,17.621254328004294,17.79340171813965,31486400,66.33727805506349,66.54927241531038,66.13375881114726,66.43054962158203,811900,,,,,,40.53421836577446,40.68813662816561,40.357213391535964,40.54191589355469,11421400,21.215886188741123,21.366852093007342,20.99111254146224,21.225950241088867,33397000,173.37573686226835,174.11487558474272,173.14634406561157,173.88548278808594,72926700,46.76687639121485,47.10356903076172,46.70795509901991,47.10356903076172,7150400,15.347774481339764,15.469690127184826,15.30713646281812,15.368093490600586,47484348,19.52714209775836,19.64837140591187,19.518161831819103,19.639392852783203,16007000,18.617042841436,18.744388580322266,18.386999380976476,18.744388580322266,10149400,35.19621796370148,35.26384299790615,35.00236136674253,35.2232666015625,8098800
2016-03-22,22.347570222430576,22.483574398296643,22.343276359728186,22.372623443603516,1600,56.936597684392936,57.87123682150492,56.936597684392936,57.692806243896484,13200200,17.7714281927864,17.866657818874188,17.71282502353012,17.734800338745117,22914800,66.10831668288186,66.56622525076226,65.96416207898083,66.37966918945312,1498000,,,,,,40.41109811030975,40.51884298571287,40.24179060617161,40.3033561706543,9853200,20.977686562787436,21.29975021721408,20.964268256998,21.108524322509766,28360200,173.1123181271733,174.36121548595858,172.95090704313338,173.7919921875,97471900,46.64060287140521,46.97729863693218,46.63218692220298,46.83420181274414,7570500,15.259717258188235,15.38163285136142,15.225852257384417,15.32067584991455,43482367,19.549596321719168,19.720216274669927,19.549596321719168,19.64388656616211,26225800,18.382901469609777,18.600620248131072,18.35414621837276,18.530786514282227,8192200,34.970797215820106,35.26383668521437,34.957272899310624,35.16465377807617,8984600
2016-03-23,22.37978035857804,22.431318995596744,22.29030418395996,22.29030418395996,2600,57.650329088997545,57.75229221335453,57.23399100890174,57.284969329833984,9105100,17.73479220800816,17.936241819853684,17.654213760479074,17.866649627685547,30479200,66.24400667389514,66.24400667389514,65.65041852383901,65.70130157470703,669200,,,,,,40.21870147817959,40.74202199401028,40.203312288667846,40.31105422973633,11304300,20.957559559955993,21.034720261268465,20.605302459502198,20.64556121826172,37747600,173.40967524526823,173.59658593127878,172.47512181521557,172.64505004882812,81052500,46.73319562770964,46.79211690662045,46.48909135166836,46.53117752075195,10833200,15.293584577887513,15.320676579821281,15.1987609808398,15.205533981323242,55912266,19.616945258709375,19.63939678445746,19.491224936012582,19.531635284423828,21350200,18.374681795922793,18.432192286929716,18.267876822201845,18.300739288330078,11327200,34.9978363282518,35.08800414637217,34.88062332402117,34.91668701171875,17044000
2016-03-24,22.19724777419214,22.326093673706055,22.173625388808873,22.326093673706055,2200,57.03007439802209,57.4719016630293,56.81765607239514,57.259483337402344,8492800,17.859333130526473,17.939913016189113,17.808055529544735,17.914274215698242,30147000,65.28578482356829,65.6249771118164,65.0313954595483,65.6249771118164,982300,,,,,,40.172512280960945,40.3033408907288,40.134033450779015,40.264862060546875,9455500,20.360397739950233,20.74620246887207,20.263108953495482,20.74620246887207,31032000,171.6170826624935,172.60260961481538,171.396194054714,172.56861877441406,84360900,46.26182196677684,46.39649963378906,46.07664218149058,46.39649963378906,10403600,15.070070555785875,15.110710144042969,14.968475560841464,15.110710144042969,48500785,19.44632231479757,19.585512161254883,19.419381515736152,19.585512161254883,13486400,18.148747052519877,18.308955296622976,18.070697324302387,18.300739288330078,7524200,34.63267395673359,34.966286360357905,34.5334910541436,34.9617805480957,13916200
2016-03-28,22.197252258941944,22.5265239661834,22.197252258941944,22.46925926208496,2600,57.4124306515342,57.47190752948115,57.01308312139323,57.09804916381836,7156300,17.943573909761852,18.038803526806255,17.8117164421545,17.848342895507812,22489200,65.77761225362173,65.89632858215425,65.43841997086251,65.71825408935547,634300,,,,,,40.31105063252906,40.56501333727814,40.31105063252906,40.4803581237793,7363500,20.752911764622116,20.809943076705213,20.49123627668893,20.6354923248291,23129800,172.98493726222043,173.19733466011797,172.22031181527262,172.67059326171875,62408200,46.40491031557601,46.531168799161485,46.20289224648367,46.413326263427734,6591700,15.131033231954348,15.205537846490412,15.083622216518624,15.158126831054688,36121356,19.603482078642276,19.630422890600936,19.50021153535131,19.536130905151367,12816000,18.280197475802808,18.444514484425028,18.26376546153196,18.378787994384766,7898600,35.01136610793749,35.272844196750825,34.98431404115967,35.119564056396484,10265200
2016-03-29,22.705475329830172,22.956008911132812,22.555156000227495,22.956008911132812,17300,56.99607324606561,57.81175864620269,56.80064558028164,57.760780334472656,10455600,17.9032810015023,18.126705962622765,17.8336887955871,18.1120548248291,35107200,65.54864970781516,66.39662703148907,65.36209366147833,66.38814544677734,749100,,,,,,40.457262218535476,40.79588005988794,40.40339126504183,40.78049087524414,10354700,20.40400835933372,20.749554295018186,20.283234674693208,20.73278045654297,28733800,172.26274495323278,174.37822726148767,171.95689224557793,174.2677764892578,92922900,46.32074871583976,46.72478176459229,46.059812511357286,46.716365814208984,9271800,15.097168192256111,15.191991813227396,15.00911916375699,15.185218811035156,44438115,19.500202453674433,19.854915271614143,19.477752643903337,19.84144401550293,20163000,18.251441872716878,18.485592586786055,18.189822603943686,18.48148536682129,8191200,35.06998038522258,35.50728496657412,35.06998038522258,35.47572708129883,10979200
2016-03-30,23.142121296505138,23.142121296505138,22.902324415957764,22.905902862548828,4200,58.049657861001094,58.20259925703452,57.667307612162716,57.769264221191406,7607700,18.112051984865868,18.152341908876295,18.00217126306145,18.068099975585938,29033800,66.72733138088921,66.90540582573021,66.39662077339122,66.5916519165039,797300,,,,,,40.91901509051564,41.04984664916992,40.81897070914415,41.04984664916992,8932300,20.920655562625157,21.007880310515137,20.65227024631507,20.773042678833008,31489600,175.27030893947753,175.75456819261893,174.66709471626987,175.0324249267578,86365300,47.128801598566056,47.16246859933458,46.80052185058594,46.80052185058594,8197600,15.266489024312499,15.38840460763088,15.252943025085937,15.273262023925781,37636102,19.94472156444186,20.056972365807187,19.913291477084474,19.958192825317383,21976600,18.563648223876953,18.641699531492147,18.48559848330536,18.563648223876953,8072600,35.619995824625924,35.78229451961236,35.55237079512293,35.70114517211914,10548400
2016-03-31,22.905900219333233,23.020429611206055,22.905900219333233,23.020429611206055,11300,57.684334508966664,58.024205212020675,57.56538073527194,57.59086990356445,8602700,18.093745554592154,18.192637263283267,18.027816817324943,18.17432403564453,29406800,66.5407753521359,66.75276966307321,66.48141720385556,66.5916519165039,1901200,,,,,,40.98058659919748,41.04984967989361,40.788189479013454,40.83436584472656,8297400,20.692524797137374,20.924006859759352,20.658977117254288,20.762975692749023,28092800,174.93903603135527,175.3638309245612,174.44627239959104,174.60769653320312,94584100,46.89312359633544,46.96046403455537,46.63218742565525,46.69110870361328,12949100,15.232621189575255,15.334217755134132,15.205529196167294,15.239394187927246,39946073,19.931247560189448,20.016559246352514,19.88185694458155,19.91777801513672,29189800,18.584185343315493,18.60883180016086,18.34592581352168,18.40754508972168,11115600,35.64703629301868,35.79130138444628,35.60195409686339,35.660560607910156,10140800
