Ticker,XLU,XLU,XLU,XLU,XLU,XLC,XLC,XLC,XLC,XLC,XLP,XLP,XLP,XLP,XLP,SPY,SPY,SPY,SPY,SPY,XLI,XLI,XLI,XLI,XLI,RSP,RSP,RSP,RSP,RSP,XLRE,XLRE,XLRE,XLRE,XLRE,XLB,XLB,XLB,XLB,XLB,XLF,XLF,XLF,XLF,XLF,XLE,XLE,XLE,XLE,XLE,XLK,XLK,XLK,XLK,XLK,XLY,XLY,XLY,XLY,XLY,XLV,XLV,XLV,XLV,XLV
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-04,18.120893019636785,18.142717155989615,17.949940753646608,18.04087257385254,30572200,,,,,,41.087927001608165,41.13384490268539,40.835385843970215,41.04966354370117,12949000,175.72063833506044,175.92454452898465,174.92202194682804,175.22787475585938,63497000,46.61904216617842,46.67779835398607,46.16577740140046,46.24971389770508,12014900,66.56112029891733,66.62867086820917,66.06294290286107,66.1389389038086,641400,22.94637268145701,22.94637268145701,22.824074823023956,22.880958557128906,5300,18.383303856827325,18.489635960628995,18.227893957327595,18.26061248779297,11321200,15.282754731357443,15.316446543547865,15.188416075077646,15.222107887268066,38544826,20.314897841219654,20.528212395057306,20.141579448362805,20.201574325561523,31619000,20.01412391370628,20.05896778115738,19.928918170591743,19.96927833557129,15292400,35.77803782907946,35.814032656276424,35.413599643513265,35.45859146118164,18943600,58.142016712292985,58.912056718632726,58.13355296058844,58.70050811767578,17381200
2016-04-05,18.000852212896145,18.02994965522663,17.68804672966912,17.702594757080078,37316800,,,,,,40.88130496789871,40.973140779358125,40.682333215033324,40.774166107177734,11748800,173.88549100305198,175.23633527129175,173.2228121935869,173.47769165039062,99662200,45.93914083027359,46.1741655600746,45.79644815917205,45.96432113647461,11244900,65.71675123474179,65.7758563667352,65.32834516135999,65.39588928222656,929700,22.681867716340207,22.681867716340207,22.66480286872961,22.676179885864258,300,18.12564888400218,18.23607157194538,18.101109988868618,18.14609718322754,10966400,15.080602835018539,15.107556285769883,14.979525812554318,15.006479263305664,61644172,20.031585422003626,20.208237543551498,19.978256791515836,20.064916610717773,32097600,19.83923493446579,19.888562515574048,19.73609093670816,19.776451110839844,21452200,35.278624323243065,35.341613554746914,35.076155993990106,35.157142639160156,17096000,58.01510018603123,58.28588220201454,57.803551534295764,57.93894577026367,16555000
2016-04-06,17.677142361556378,17.706241205201238,17.571662522116842,17.6807804107666,40589000,,,,,,40.66702651489522,41.10323639387791,40.66702651489522,41.095584869384766,11672400,173.4776876606398,175.43174616625078,173.29926815586828,175.3722686767578,91839800,45.94752003107854,46.19093704223633,45.53622369848321,46.19093704223633,10962400,65.42121606128791,66.11359312480135,65.28611495524855,66.0882568359375,533600,22.70319567370617,22.738746643066406,22.646313309020265,22.738746643066406,600,18.10111325187737,18.354677200317383,17.982512470948564,18.354677200317383,11345400,14.979523082071442,15.100815170489923,14.932354551854514,15.0873384475708,38129610,20.22823777737766,20.501547205283654,20.078251857553774,20.498214721679688,36437600,19.780932039455994,19.96927833557129,19.709180825123894,19.96927833557129,22277000,35.20213006964986,35.521576398936034,35.11214644518948,35.490081787109375,13554200,57.95587094095096,59.521329783866705,57.95587094095096,59.49594497680664,24546600
2016-04-07,17.655317794086027,17.789896463280247,17.626218953444525,17.673503875732422,30560400,,,,,,40.82007703118225,40.965479328818034,40.52161799327407,40.65171432495117,11243400,174.28478675657163,174.64161278528653,172.5431257163603,173.27377319335938,113859000,45.804842305336564,46.04826261463507,45.603393443964784,45.74608612060547,13364500,65.75048908513627,65.89402911797931,64.98211636467194,65.26075744628906,647200,22.77643241078012,22.77643241078012,22.553878784179688,22.553878784179688,2100,18.215630112987967,18.244258054674773,18.01114392373603,18.088848114013672,10134200,14.979524095710152,14.993000819541221,14.723464760773355,14.804325103759766,51315220,20.33822726170788,20.528210599064018,20.20823879630156,20.378223419189453,27854200,19.82578398124831,19.866144162665133,19.60604654628917,19.682281494140625,21261800,35.346113993987636,35.458595266557765,34.936683946813496,35.089656829833984,10346800,59.07284915037122,59.47056168700012,58.539748820650225,58.84437942504883,19216700
2016-04-08,17.728063304137955,17.884464714504094,17.709875835191802,17.7680721282959,32873800,,,,,,40.827724074935425,40.91955986061145,40.74354565037035,40.87364196777344,7040200,174.45472576278593,174.88802475657786,173.20582801075355,173.74107360839844,95040600,46.03147183147545,46.43437273129483,45.888775961680324,45.9223518371582,9188900,65.72518219561107,65.97849355434278,65.3789968767849,65.54786682128906,536100,22.888062866950097,22.930725658580307,22.767189025878906,22.767189025878906,1900,18.18700255935888,18.411937060314298,18.18700255935888,18.20745086669922,8811400,14.905407398818243,15.006482863383948,14.831283809323006,14.858237266540527,55956828,20.761519536648766,20.901506694487146,20.684859720958038,20.788183212280273,35333000,19.785423799831488,19.861660458367524,19.615015665568976,19.682281494140625,17525600,35.23362444907718,35.26961927168602,34.905181132573475,35.03565979003906,10318600,59.208236721951636,59.23362152679645,58.33665732386687,58.68359375,12883800
2016-04-11,17.76806516013783,17.880821040842413,17.677133401104356,17.691682815551758,22250000,,,,,,40.91956538681224,41.04966172178488,40.552230952442066,40.58283996582031,6694100,174.3782280486633,175.07489759401867,173.2397813398055,173.33323669433594,83757500,46.1489809089702,46.45115736281991,45.92234856858291,45.93913650512695,7710100,65.79270285975922,66.16422429925211,65.44651769820926,65.47184753417969,696900,22.792783443905137,22.898015065060235,22.74869937713106,22.752965927124023,3100,18.371036918724688,18.481459638667676,18.289243698120117,18.289243698120117,7691400,14.925618825295604,15.046910935126443,14.905403737348243,14.918880462646484,45423161,20.95483923661908,21.018167862066434,20.701528549194336,20.701528549194336,32471400,19.76748249432764,19.884077595415892,19.628463745117188,19.628463745117188,16277200,35.14364158254119,35.30111464402927,34.887184473073376,34.905181884765625,11742000,58.65820468778689,58.82744101177088,58.108176950911044,58.235107421875,8695500
2016-04-12,17.69532417069792,17.837177519305367,17.666225336363677,17.815353393554688,26854400,,,,,,40.59050611942168,40.88131080595988,40.59050611942168,40.83539581298828,9361100,173.50316446745788,175.22783007301945,173.0613743084662,174.9474639892578,115350600,45.9559357071399,46.44277638034488,45.88039157515886,46.20774841308594,10724300,65.54788025907092,66.29936261753195,65.39589470106887,66.18115234375,585600,22.81625455768062,22.88806715114678,22.81625455768062,22.852516174316406,1300,18.399659354756796,18.575515959632902,18.29741630814471,18.54279899597168,9409800,14.939094750056865,15.134508838556433,14.905402938616696,15.107555389404297,48225902,20.781516252587448,21.441459684011456,20.73818762226168,21.31813621520996,55260800,19.664336200239674,19.780932998358924,19.529802880680826,19.76299476623535,19184000,34.91416675882146,35.22461599563795,34.75669375197762,35.170623779296875,11502600,58.22664988391798,58.83591104481506,58.218192585982415,58.708980560302734,13510500
2016-04-13,17.866271465880875,17.866271465880875,17.611662265372896,17.70623207092285,26641000,,,,,,40.93486635768533,40.980781331806774,40.3379454202786,40.52161407470703,14780000,175.8650557444646,176.7996095353536,175.72911829056997,176.7146453857422,96336400,46.63582159906415,47.02193453479047,46.577065421974126,46.896026611328125,13215500,66.50196736141557,67.02546779220687,66.42597141509192,67.01702880859375,1003400,22.852512206220666,22.866733136956636,22.716705436912132,22.76505470275879,2800,18.661403570179594,18.788183964903947,18.645044306310233,18.726839065551758,9651800,15.262543777208592,15.464696287241548,15.249067048682864,15.45121955871582,69649488,21.308143661782207,21.481460776144967,21.158156474876954,21.418134689331055,37405800,19.879595826154336,19.996190938585343,19.85717217585069,19.964799880981445,15753200,35.37759474693049,35.6790470480843,35.319105743874665,35.66554641723633,10081000,58.979749344087985,59.29284360815571,58.666661535971436,59.258995056152344,9706200
