Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^N225,^N225,^N225,^N225,^N225,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,^RUT,^RUT,^RUT,^RUT,^RUT,^DJI,^DJI,^DJI,^DJI,^DJI,^HSI,^HSI,^HSI,^HSI,^HSI
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,,,,,,,,,,,13992.7099609375,14095.91015625,13976.4404296875,14069.259765625,34978500.0,,,,,,,,,,,6521.06982421875,6601.10986328125,6518.2099609375,6594.56982421875,47388200.0,,,,,,,,,,,,,,,
2023-01-03,3853.2900390625,3878.4599609375,3794.330078125,3824.139892578125,3959140000.0,7451.7001953125,7626.39990234375,7448.7001953125,7554.10009765625,914070400.0,14116.0703125,14293.8701171875,14083.759765625,14181.669921875,57907500.0,,,,,,10562.0595703125,10613.0595703125,10309.16015625,10386.98046875,4780650000.0,6580.08984375,6696.10009765625,6580.08984375,6623.89013671875,73986700.0,1769.75,1785.949951171875,1737.260009765625,1750.72998046875,3959140000.0,33148.8984375,33387.51953125,32850.5703125,33136.37109375,355930000.0,19570.4296875,20212.55078125,19303.73046875,20145.2890625,2286700000.0
2023-01-04,3840.360107421875,3873.159912109375,3815.77001953125,3852.969970703125,4414080000.0,7554.10009765625,7609.2998046875,7545.2001953125,7585.2001953125,753877000.0,14266.98046875,14492.7802734375,14264.599609375,14490.7802734375,76221600.0,25834.9296875,25840.6796875,25661.890625,25716.859375,83300000.0,10467.8203125,10515.2197265625,10337.6396484375,10458.759765625,5085380000.0,6660.60009765625,6780.830078125,6659.830078125,6776.43017578125,94387100.0,1758.0899658203125,1781.969970703125,1758.0899658203125,1772.5400390625,4414080000.0,33165.140625,33409.1015625,33033.48046875,33269.76953125,379400000.0,20319.98046875,20793.109375,20233.390625,20793.109375,3016000000.0
2023-01-05,3839.739990234375,3839.739990234375,3802.419921875,3808.10009765625,3893450000.0,7585.2001953125,7658.7998046875,7564.7001953125,7633.5,883850800.0,14451.23046875,14501.599609375,14403.73046875,14436.3095703125,60947500.0,25825.5,25947.099609375,25750.4609375,25820.80078125,72300000.0,10390.3095703125,10393.2197265625,10295.25,10305.240234375,4764270000.0,6744.5,6792.08984375,6732.0400390625,6761.5,71666600.0,1766.0799560546875,1766.0799560546875,1745.3800048828125,1753.18994140625,3893450000.0,33191.71875,33191.71875,32812.328125,32930.078125,337920000.0,21295.869140625,21396.08984375,20962.400390625,21052.169921875,2875400000.0
2023-01-06,3823.3701171875,3906.18994140625,3809.56005859375,3895.080078125,3923560000.0,7633.5,7700.7998046875,7633.5,7699.5,813538800.0,14476.7197265625,14610.23046875,14388.98046875,14610.01953125,55433700.0,25740.080078125,26034.060546875,25719.609375,25973.849609375,68200000.0,10363.9599609375,10604.1396484375,10265.0400390625,10569.2900390625,5199780000.0,6772.93994140625,6860.9501953125,6757.4599609375,6860.9501953125,0.0,1764.3299560546875,1795.56005859375,1758.5,1792.800048828125,3923560000.0,33055.30078125,33710.66015625,32997.390625,33630.609375,360740000.0,21220.890625,21282.7109375,20862.76953125,20991.640625,2754500000.0
2023-01-09,3910.820068359375,3950.570068359375,3890.419921875,3892.090087890625,4311770000.0,7699.5,7725.7001953125,7688.7001953125,7724.89990234375,847858600.0,14650.73046875,14832.8896484375,14628.6103515625,14792.830078125,64976500.0,,,,,,10662.099609375,10807.259765625,10619.1201171875,10635.650390625,5132190000.0,6861.58984375,6928.43017578125,6851.66015625,6907.35986328125,78531000.0,1801.0699462890625,1817.0899658203125,1794.5400390625,1795.9100341796875,4311770000.0,33664.390625,33935.109375,33487.66015625,33517.6484375,327840000.0,21295.939453125,21470.689453125,21216.919921875,21388.33984375,2697900000.0
2023-01-10,3888.570068359375,3919.830078125,3877.2900390625,3919.25,3851030000.0,7724.89990234375,7724.89990234375,7684.39990234375,7694.5,933139900.0,14741.9697265625,14790.8203125,14692.740234375,14774.599609375,57438600.0,26176.609375,26316.66015625,26132.80078125,26175.560546875,71200000.0,10607.7197265625,10743.669921875,10589.58984375,10742.6298828125,4710680000.0,6882.009765625,6885.43994140625,6845.81005859375,6869.14013671875,64470300.0,1794.2900390625,1822.6500244140625,1793.18994140625,1822.6500244140625,3851030000.0,33516.4296875,33726.5390625,33421.80078125,33704.1015625,268260000.0,21370.419921875,21395.419921875,21187.73046875,21331.4609375,2543200000.0
2023-01-11,3932.35009765625,3970.070068359375,3928.5400390625,3969.610107421875,4303360000.0,7694.5,7772.39990234375,7694.39990234375,7725.0,1041280000.0,14805.400390625,14965.4697265625,14794.990234375,14947.91015625,66367800.0,26362.2109375,26479.990234375,26332.05078125,26446.0,62400000.0,10794.990234375,10932.4404296875,10762.73046875,10931.669921875,5284390000.0,6879.10009765625,6946.669921875,6874.7099609375,6924.18994140625,76436500.0,1827.1199951171875,1844.1600341796875,1826.52001953125,1844.050048828125,4303360000.0,33754.03125,33974.69140625,33711.0390625,33973.01171875,301650000.0,21463.8203125,21686.30078125,21327.41015625,21436.05078125,2971300000.0
