Ticker,MSTR,MSTR,MSTR,MSTR,MSTR,ADBE,ADBE,ADBE,ADBE,ADBE,NVO,NVO,NVO,NVO,NVO
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2020-01-02,14.284000396728516,14.48900032043457,14.272000312805176,14.430999755859375,276000,330.0,334.4800109863281,329.1700134277344,334.42999267578125,1990100,26.4871242097407,26.52800647975181,26.3508488211613,26.509836196899414,2224800
2020-01-03,14.302000045776367,14.48900032043457,14.279999732971191,14.357000350952148,585000,329.1700134277344,332.9800109863281,328.69000244140625,331.80999755859375,1577600,25.851180264203272,26.07376191512175,25.828468275206777,25.94202995300293,2491200
2020-01-06,14.324999809265137,14.545999526977539,14.324999809265137,14.425000190734863,327000,328.2900085449219,333.9100036621094,328.19000244140625,333.7099914550781,1874700,25.88751922183286,25.973825467774052,25.833008372257137,25.896602630615234,2495000
2020-01-07,14.399999618530273,14.536999702453613,14.324000358581543,14.38700008392334,349000,334.1499938964844,334.7900085449219,332.30999755859375,333.3900146484375,2500800,25.892062422244983,25.892062422244983,25.69219449402654,25.86935043334961,2080600
2020-01-08,14.395000457763672,14.54699993133545,14.206999778747559,14.371000289916992,395000,333.80999755859375,339.2300109863281,333.3999938964844,337.8699951171875,2248500,25.85118044498515,25.97836897050591,25.74216047110043,25.823925018310547,1826200
2020-01-09,14.444999694824219,14.531999588012695,14.291000366210938,14.350000381469727,642000,340.1400146484375,341.80999755859375,338.19000244140625,340.45001220703125,1626300,26.05105002056623,26.2236642681116,26.037423172775267,26.09193229675293,1842000
2020-01-10,14.413999557495117,14.515999794006348,14.21500015258789,14.23900032043457,411000,342.04998779296875,343.3599853515625,339.6199951171875,339.80999755859375,1480400,26.568888991093573,26.832351163592158,26.514378142041263,26.655195236206055,2943000
2020-01-13,14.251999855041504,14.531000137329102,14.251999855041504,14.458999633789062,490000,341.5400085449219,345.7300109863281,341.2200012207031,345.6300048828125,2069200,26.886861271534627,26.923201838909897,26.69153505392661,26.786928176879883,2380400
2020-01-14,14.468999862670898,14.567999839782715,14.406999588012695,14.47700023651123,468000,347.010009765625,347.2699890136719,343.1499938964844,344.6300048828125,2274400,26.70061951626171,27.11852736637379,26.6960778118622,27.06401824951172,2506200
2020-01-15,14.482999801635742,14.704999923706055,14.482999801635742,14.626999855041504,535000,346.4200134277344,347.5,342.4599914550781,342.94000244140625,2213300,27.927087754005143,28.476725861779023,27.918002611792307,28.340452194213867,5969000
2020-01-16,14.711999893188477,14.795999526977539,14.607999801635742,14.67199993133545,357000,345.9800109863281,345.989990234375,342.760009765625,345.3800048828125,2439600,27.981597098170447,28.104243919803707,27.60457322379891,27.84986686706543,4531400
2020-01-17,14.746999740600586,14.746999740600586,14.621999740600586,14.673999786376953,336000,349.0,349.95001220703125,346.3800048828125,349.739990234375,2536100,27.918002834985877,27.95434340412775,27.808984593187677,27.84986686706543,2506800
2020-01-21,14.628999710083008,14.756999969482422,14.512999534606934,14.595000267028809,533000,346.3699951171875,352.3699951171875,345.6199951171875,350.0,2121200,27.872575046939524,27.92708416038869,27.74538653795364,27.772640228271484,2298000
2020-01-22,14.694000244140625,14.734000205993652,14.564000129699707,14.592000007629395,458000,352.6000061035156,354.2799987792969,349.9599914550781,350.05999755859375,1600300,27.745388123682478,28.004308593380923,27.745388123682478,27.854406356811523,2430000
2020-01-23,14.57699966430664,14.666000366210938,14.54800033569336,14.574000358581543,455000,351.0199890136719,352.1600036621094,347.8500061035156,351.760009765625,2084400,27.85440967679719,28.00885363614959,27.73630628802831,27.9770565032959,1750800
2020-01-24,14.61400032043457,14.673999786376953,14.277999877929688,14.315999984741211,393000,354.1000061035156,355.69000244140625,349.20001220703125,351.3699951171875,1640200,28.190551507176377,28.31319832707838,27.659081954267705,27.745389938354492,4056800
2020-01-27,14.152000427246094,14.378999710083008,14.125,14.253000259399414,517000,341.0400085449219,349.8999938964844,340.3999938964844,346.8999938964844,2652000,27.31385614533725,27.377450409787052,27.21392131102257,27.23663330078125,2117000
2020-01-28,14.302000045776367,14.454000473022461,14.130000114440918,14.399999618530273,606000,349.0,355.6600036621094,347.1199951171875,354.6300048828125,2270800,27.268425851626276,27.40924293697334,27.15940762597532,27.404701232910156,2245200
2020-01-29,15.699999809265137,16.5,15.230999946594238,15.260000228881836,2547000,356.70001220703125,356.70001220703125,351.3599853515625,351.6600036621094,1521300,27.654540006509013,27.736304552391626,27.550063471839824,27.559146881103516,2604200
2020-01-30,15.340999603271484,15.710000038146973,15.133999824523926,15.270000457763672,1048000,349.69000244140625,356.82000732421875,349.69000244140625,356.739990234375,1834900,27.69996512826428,27.69996512826428,27.518267477652742,27.64999771118164,2392200
2020-01-31,15.263999938964844,15.47599983215332,15.151000022888184,15.20300006866455,1011000,355.8399963378906,355.8399963378906,348.29998779296875,351.1400146484375,3692900,27.877120215517415,27.877120215517415,27.540978619190753,27.63182830810547,2806600
2020-02-03,15.244999885559082,15.609000205993652,14.901000022888184,14.947999954223633,1018000,353.4100036621094,358.6700134277344,352.2900085449219,358.0,2693800,27.618198513058044,27.8226098709173,27.57731624148619,27.69087791442871,2281400
2020-02-04,15.062999725341797,15.253999710083008,15.045999526977539,15.180999755859375,871000,363.42999267578125,367.44000244140625,360.45001220703125,366.739990234375,3053000,27.713592565006717,28.14058560529418,27.672710289507148,27.9770565032959,3532400
2020-02-05,15.282999992370605,15.331000328063965,15.083999633789062,15.284000396728516,961000,373.989990234375,374.4800109863281,362.30999755859375,365.54998779296875,2463400,28.940057073166873,29.34887979957028,28.78561312461599,29.258031845092773,6502400
2020-02-06,15.276000022888184,15.385000228881836,15.194999694824219,15.223999977111816,561000,366.1600036621094,368.25,363.010009765625,367.4599914550781,2224500,28.999107226031658,29.444268750762973,28.88554555953448,29.376131057739258,2717000
2020-02-07,15.128999710083008,15.357000350952148,15.119999885559082,15.265999794006348,746000,366.0,369.3399963378906,364.3800048828125,366.0899963378906,2092700,28.862833940435987,28.944598479980506,28.70384656562674,28.731101989746094,2695800
2020-02-10,15.305999755859375,15.357000350952148,15.112000465393066,15.145000457763672,285000,365.44000244140625,370.80999755859375,365.2200012207031,370.0,2426800,28.635711123234262,28.926428721185708,28.62208254452096,28.90825843811035,1972000
