Ticker,MSTR,MSTR,MSTR,MSTR,MSTR,ADBE,ADBE,ADBE,ADBE,ADBE,NVO,NVO,NVO,NVO,NVO,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,18565664997
2020-01-02,14.284000396728516,14.48900032043457,14.272000312805176,14.430999755859375,276000.0,330.0,334.4800109863281,329.1700134277344,334.42999267578125,1990100.0,26.4871242097407,26.52800647975181,26.3508488211613,26.509836196899414,2224800.0,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,20802083465
2020-01-03,14.302000045776367,14.48900032043457,14.279999732971191,14.357000350952148,585000.0,329.1700134277344,332.9800109863281,328.69000244140625,331.80999755859375,1577600.0,25.851180264203272,26.07376191512175,25.828468275206777,25.94202995300293,2491200.0,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,28111481032
2020-01-04,,,,,,,,,,,,,,,,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,18444271275
2020-01-05,,,,,,,,,,,,,,,,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,19725074095
2020-01-06,14.324999809265137,14.545999526977539,14.324999809265137,14.425000190734863,327000.0,328.2900085449219,333.9100036621094,328.19000244140625,333.7099914550781,1874700.0,25.88751922183286,25.973825467774052,25.833008372257137,25.896602630615234,2495000.0,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598
2020-01-07,14.399999618530273,14.536999702453613,14.324000358581543,14.38700008392334,349000.0,334.1499938964844,334.7900085449219,332.30999755859375,333.3900146484375,2500800.0,25.892062422244983,25.892062422244983,25.69219449402654,25.86935043334961,2080600.0,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327
2020-01-08,14.395000457763672,14.54699993133545,14.206999778747559,14.371000289916992,395000.0,333.80999755859375,339.2300109863281,333.3999938964844,337.8699951171875,2248500.0,25.85118044498515,25.97836897050591,25.74216047110043,25.823925018310547,1826200.0,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265
2020-01-09,14.444999694824219,14.531999588012695,14.291000366210938,14.350000381469727,642000.0,340.1400146484375,341.80999755859375,338.19000244140625,340.45001220703125,1626300.0,26.05105002056623,26.2236642681116,26.037423172775267,26.09193229675293,1842000.0,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466
2020-01-10,14.413999557495117,14.515999794006348,14.21500015258789,14.23900032043457,411000.0,342.04998779296875,343.3599853515625,339.6199951171875,339.80999755859375,1480400.0,26.568888991093573,26.832351163592158,26.514378142041263,26.655195236206055,2943000.0,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844
2020-01-11,,,,,,,,,,,,,,,,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,25521165085
2020-01-12,,,,,,,,,,,,,,,,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,22903438381
2020-01-13,14.251999855041504,14.531000137329102,14.251999855041504,14.458999633789062,490000.0,341.5400085449219,345.7300109863281,341.2200012207031,345.6300048828125,2069200.0,26.886861271534627,26.923201838909897,26.69153505392661,26.786928176879883,2380400.0,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,22482910688
2020-01-14,14.468999862670898,14.567999839782715,14.406999588012695,14.47700023651123,468000.0,347.010009765625,347.2699890136719,343.1499938964844,344.6300048828125,2274400.0,26.70061951626171,27.11852736637379,26.6960778118622,27.06401824951172,2506200.0,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,44841784107
2020-01-15,14.482999801635742,14.704999923706055,14.482999801635742,14.626999855041504,535000.0,346.4200134277344,347.5,342.4599914550781,342.94000244140625,2213300.0,27.927087754005143,28.476725861779023,27.918002611792307,28.340452194213867,5969000.0,8825.34375,8890.1171875,8657.1875,8807.0107421875,40102834650
2020-01-16,14.711999893188477,14.795999526977539,14.607999801635742,14.67199993133545,357000.0,345.9800109863281,345.989990234375,342.760009765625,345.3800048828125,2439600.0,27.981597098170447,28.104243919803707,27.60457322379891,27.84986686706543,4531400.0,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,31313981931
2020-01-17,14.746999740600586,14.746999740600586,14.621999740600586,14.673999786376953,336000.0,349.0,349.95001220703125,346.3800048828125,349.739990234375,2536100.0,27.918002834985877,27.95434340412775,27.808984593187677,27.84986686706543,2506800.0,8725.2099609375,8958.1220703125,8677.31640625,8929.0380859375,36372139320
2020-01-18,,,,,,,,,,,,,,,,8927.2119140625,9012.1982421875,8827.33203125,8942.80859375,32337772627
2020-01-19,,,,,,,,,,,,,,,,8941.4453125,9164.3623046875,8620.080078125,8706.2451171875,34217320471
2020-01-20,,,,,,,,,,,,,,,,8704.6318359375,8745.5908203125,8560.4736328125,8657.642578125,26422375678
2020-01-21,14.628999710083008,14.756999969482422,14.512999534606934,14.595000267028809,533000.0,346.3699951171875,352.3699951171875,345.6199951171875,350.0,2121200.0,27.872575046939524,27.92708416038869,27.74538653795364,27.772640228271484,2298000.0,8658.9912109375,8755.7060546875,8544.5205078125,8745.89453125,24097418512
2020-01-22,14.694000244140625,14.734000205993652,14.564000129699707,14.592000007629395,458000.0,352.6000061035156,354.2799987792969,349.9599914550781,350.05999755859375,1600300.0,27.745388123682478,28.004308593380923,27.745388123682478,27.854406356811523,2430000.0,8744.2109375,8792.994140625,8636.7470703125,8680.8759765625,22600204051
2020-01-23,14.57699966430664,14.666000366210938,14.54800033569336,14.574000358581543,455000.0,351.0199890136719,352.1600036621094,347.8500061035156,351.760009765625,2084400.0,27.85440967679719,28.00885363614959,27.73630628802831,27.9770565032959,1750800.0,8680.650390625,8687.7470703125,8333.6376953125,8406.515625,25770680779
2020-01-24,14.61400032043457,14.673999786376953,14.277999877929688,14.315999984741211,393000.0,354.1000061035156,355.69000244140625,349.20001220703125,351.3699951171875,1640200.0,28.190551507176377,28.31319832707838,27.659081954267705,27.745389938354492,4056800.0,8405.5673828125,8514.6669921875,8266.8408203125,8445.4345703125,24397913026
2020-01-25,,,,,,,,,,,,,,,,8440.119140625,8458.453125,8296.21875,8367.84765625,19647331549
2020-01-26,,,,,,,,,,,,,,,,8364.41015625,8602.4013671875,8325.498046875,8596.830078125,22177678796
2020-01-27,14.152000427246094,14.378999710083008,14.125,14.253000259399414,517000.0,341.0400085449219,349.8999938964844,340.3999938964844,346.8999938964844,2652000.0,27.31385614533725,27.377450409787052,27.21392131102257,27.23663330078125,2117000.0,8597.30859375,8977.7265625,8597.30859375,8909.8193359375,28647338393
2020-01-28,14.302000045776367,14.454000473022461,14.130000114440918,14.399999618530273,606000.0,349.0,355.6600036621094,347.1199951171875,354.6300048828125,2270800.0,27.268425851626276,27.40924293697334,27.15940762597532,27.404701232910156,2245200.0,8912.5244140625,9358.58984375,8908.447265625,9358.58984375,34398744403
2020-01-29,15.699999809265137,16.5,15.230999946594238,15.260000228881836,2547000.0,356.70001220703125,356.70001220703125,351.3599853515625,351.6600036621094,1521300.0,27.654540006509013,27.736304552391626,27.550063471839824,27.559146881103516,2604200.0,9357.470703125,9406.431640625,9269.4677734375,9316.6298828125,30682598115
2020-01-30,15.340999603271484,15.710000038146973,15.133999824523926,15.270000457763672,1048000.0,349.69000244140625,356.82000732421875,349.69000244140625,356.739990234375,1834900.0,27.69996512826428,27.69996512826428,27.518267477652742,27.64999771118164,2392200.0,9316.0166015625,9553.1259765625,9230.8974609375,9508.9931640625,32378792851
2020-01-31,15.263999938964844,15.47599983215332,15.151000022888184,15.20300006866455,1011000.0,355.8399963378906,355.8399963378906,348.29998779296875,351.1400146484375,3692900.0,27.877120215517415,27.877120215517415,27.540978619190753,27.63182830810547,2806600.0,9508.3134765625,9521.7060546875,9230.7763671875,9350.529296875,29432489719
2020-02-01,,,,,,,,,,,,,,,,9346.357421875,9439.3232421875,9313.2392578125,9392.875,25922656496
2020-02-02,,,,,,,,,,,,,,,,9389.8203125,9468.7978515625,9217.82421875,9344.365234375,30835736946
2020-02-03,15.244999885559082,15.609000205993652,14.901000022888184,14.947999954223633,1018000.0,353.4100036621094,358.6700134277344,352.2900085449219,358.0,2693800.0,27.618198513058044,27.8226098709173,27.57731624148619,27.69087791442871,2281400.0,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,30934096509
2020-02-04,15.062999725341797,15.253999710083008,15.045999526977539,15.180999755859375,871000.0,363.42999267578125,367.44000244140625,360.45001220703125,366.739990234375,3053000.0,27.713592565006717,28.14058560529418,27.672710289507148,27.9770565032959,3532400.0,9292.841796875,9331.265625,9112.8115234375,9180.962890625,29893183716
2020-02-05,15.282999992370605,15.331000328063965,15.083999633789062,15.284000396728516,961000.0,373.989990234375,374.4800109863281,362.30999755859375,365.54998779296875,2463400.0,28.940057073166873,29.34887979957028,28.78561312461599,29.258031845092773,6502400.0,9183.416015625,9701.2998046875,9163.7041015625,9613.423828125,35222060874
