Ticker,META,META,META,META,META
Price,Open,High,Low,Close,Volume
Date,,,,,
2012-05-18,41.79236457359019,44.724291080463374,37.767179134613514,37.99576950073242,573576400
2012-05-21,36.30618150999695,36.43538606880356,32.79781083674485,33.82149887084961,168192700
2012-05-22,32.4102025271521,33.384197714086056,30.75043436769169,30.81006622314453,101786600
2012-05-23,31.177800588234277,32.30087637901306,31.16786162956123,31.803939819335938,73600000
2012-05-24,32.748117403003555,33.00652272503711,31.57534691333061,32.8276252746582,50237200
2012-05-25,32.69842694075221,32.74811983814711,30.919393158209346,31.71449089050293,37149800
2012-05-29,31.287123865151255,31.495838196106117,28.474463145999607,28.663299560546875,78063400
2012-05-30,28.524157981165423,29.36894857750882,27.689304447378756,28.017282485961914,57267900
2012-05-31,28.375072386298918,29.488210940947624,26.665611569310013,29.41864013671875,111639200
2012-06-01,28.7129929523706,28.971400183150042,27.222183317947824,27.550161361694336,41855500
2012-06-04,27.033348686242654,27.480590437359506,26.27800491371672,26.735185623168945,35230300
2012-06-05,26.53641286824006,27.589917836951688,25.592232652878558,25.711498260498047,42473400
2012-06-06,25.910272698689337,27.00353354204107,25.36364322484477,26.64573860168457,61489200
2012-06-07,26.8345728441541,27.18242879719229,25.98978035696491,26.148799896240234,26159500
2012-06-08,26.387328647525568,27.5899160205019,26.2780039013731,26.9339599609375,38034000
2012-06-11,27.013469524694642,27.898015923492387,26.675552539514346,26.844511032104492,28219600
2012-06-12,27.31163028011302,27.599854367366138,26.79481585200131,27.232120513916016,15816800
2012-06-13,27.49053044377129,27.927835148887485,26.93396202540866,27.102920532226562,17102800
2012-06-14,27.480590542265865,28.146485587977967,27.212244353173865,28.116670608520508,16855000
2012-06-15,28.335322177566454,29.915580550918445,28.176302633954148,29.82613182067871,43563800
2012-06-18,29.776437331153133,31.883451044587748,29.229807881387792,31.217554092407227,42978900
2012-06-19,31.346758900190594,31.98283708602546,30.511905333451068,31.71449089050293,30849000
2012-06-20,31.724426387314267,31.734365344841205,30.959143718701,31.406387329101562,15553600
2012-06-21,31.475958048262193,32.300872564072,31.316938519599745,31.644916534423828,21875300
2012-06-22,32.21143299609326,33.24506212179841,31.86357886307984,32.847511291503906,74834000
2012-06-25,32.65866884421357,32.81768837965785,31.356693791227762,31.863571166992188,24352900
2012-06-26,32.4897136760715,33.23511857912172,32.30087913217593,32.89720153808594,24858700
2012-06-27,32.26111826996118,32.698424838095654,31.704549893145536,32.032527923583984,28568000
2012-06-28,31.764184299469438,31.992774664227547,30.7106793132978,31.167861938476562,17713300
2012-06-29,31.724428041433136,31.793998852086812,30.571535447468847,30.909452438354492,19526900
2012-07-02,31.05853097770925,31.535589558567917,30.36281912554365,30.581472396850586,14122000
2012-07-03,30.720614570901766,31.24736794835651,30.611287933248704,31.008838653564453,8763600
2012-07-05,31.128104855790337,31.43620498270982,30.82994368724406,31.277185440063477,10032100
2012-07-06,31.24736892943853,31.704549618228615,31.068471478812015,31.53559112548828,10945600
2012-07-09,31.903323857362583,32.67854742585714,31.79399910930624,31.9728946685791,17785200
2012-07-10,32.23130459160402,32.280997487807575,30.969085313143992,31.277185440063477,14269500
2012-07-11,31.28712220209537,31.366631967836998,30.362819990560027,30.78024673461914,13030300
2012-07-12,30.511904421618752,31.207614442669076,30.412516734136574,30.62122917175293,11300700
2012-07-13,30.849819292698587,30.879634269921965,30.37275880483881,30.53177833557129,8108300
2012-07-16,30.313128209747045,30.313128209747045,28.037158001457914,28.076913833618164,24672100
2012-07-17,28.305502315755206,28.41482895132706,26.983651314157193,27.917892456054688,30438600
2012-07-18,28.136546735160355,29.110543807111707,27.977527191915744,28.9316463470459,16841800
2012-07-19,29.229806837819492,29.31925556577485,28.454585160760526,28.82231903076172,13685100
2012-07-20,28.822317212368876,29.289436843372282,28.544032087879984,28.58378791809082,11869100
2012-07-23,27.94771143457126,28.822318898076595,27.83838479075968,28.573850631713867,12390700
2012-07-24,28.643422059293506,29.269563165570865,27.927834119210427,28.27569007873535,11539800
2012-07-25,28.216058018679778,29.309318858813388,27.90795787409227,29.16023826599121,17230200
2012-07-26,27.579976920726686,28.05703552601812,26.566225962735597,26.68549156188965,64597400
2012-07-27,23.04791713242585,24.389646162365352,22.14349278612746,23.564729690551758,123102300
