datetime,SPY
2021-08-31 16:30:00,451.56
2021-09-01 16:30:00,451.8
2021-09-02 16:30:00,453.19
2021-09-03 16:30:00,453.08
2021-09-07 16:30:00,451.46
2021-09-08 16:30:00,450.91
2021-09-09 16:30:00,448.98
2021-09-10 16:30:00,445.44
2021-09-13 16:30:00,446.58
2021-09-14 16:30:00,444.17
2021-09-15 16:30:00,447.88
2021-09-16 16:30:00,447.17
2021-09-17 16:30:00,441.4
2021-09-20 16:30:00,434.04
2021-09-21 16:30:00,433.63
2021-09-22 16:30:00,437.86
2021-09-23 16:30:00,443.18
2021-09-24 16:30:00,443.91
2021-09-27 16:30:00,442.64
2021-09-28 16:30:00,433.72
2021-09-29 16:30:00,434.45
2021-09-30 16:30:00,429.14
2021-10-01 16:30:00,434.24
2021-10-04 16:30:00,428.64
2021-10-05 16:30:00,433.1
2021-10-06 16:30:00,434.9
2021-10-07 16:30:00,438.66
2021-10-08 16:30:00,437.86
2021-10-11 16:30:00,434.69
2021-10-12 16:30:00,433.62
2021-10-13 16:30:00,435.18
2021-10-14 16:30:00,442.5
2021-10-15 16:30:00,445.87
2021-10-18 16:30:00,447.19
2021-10-19 16:30:00,450.64
2021-10-20 16:30:00,452.41
2021-10-21 16:30:00,453.59
2021-10-22 16:30:00,453.12
2021-10-25 16:30:00,455.55
2021-10-26 16:30:00,455.96
2021-10-27 16:30:00,453.94
2021-10-28 16:30:00,458.32
2021-10-29 16:30:00,459.25
2021-11-01 16:30:00,460.04
2021-11-02 16:30:00,461.9
2021-11-03 16:30:00,464.72
2021-11-04 16:30:00,466.91
2021-11-05 16:30:00,468.53
2021-11-08 17:30:00,468.93
2021-11-09 17:30:00,467.38
2021-11-10 17:30:00,463.62
2021-11-11 17:30:00,463.77
2021-11-12 17:30:00,467.27
2021-11-15 17:30:00,467.43
2021-11-16 17:30:00,469.28
2021-11-17 17:30:00,468.14
2021-11-18 17:30:00,469.73
2021-11-19 17:30:00,468.89
2021-11-22 17:30:00,467.57
2021-11-23 17:30:00,468.19
2021-11-24 17:30:00,469.44
2021-11-26 17:30:00,458.97
2021-11-29 17:30:00,464.6
2021-11-30 17:30:00,455.56
2021-12-01 17:30:00,450.5
2021-12-02 17:30:00,457.4
2021-12-03 17:30:00,453.42
2021-12-06 17:30:00,458.79
2021-12-07 17:30:00,468.28
2021-12-08 17:30:00,469.52
2021-12-09 17:30:00,466.35
2021-12-10 17:30:00,470.74
