Ticker,SPY,SPY,SPY,SPY,SPY,TLT,TLT,TLT,TLT,TLT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
2000-01-03,93.6647160509189,93.6647160509189,90.90058024840442,91.88777160644531,8164300,,,,,
2000-01-04,90.6834377227401,91.01908293094532,88.22533016853127,88.29443359375,8089800,,,,,
2000-01-05,88.41286677292415,89.41980205774307,86.71489746911185,88.45235443115234,12177900,,,,,
2000-01-06,88.21542189471735,89.40005155310656,87.03079223632812,87.03079223632812,6227200,,,,,
2000-01-07,88.6497646416849,92.08518981933594,88.4918140588044,92.08518981933594,8066500,,,,,
2000-01-10,92.40108489990234,92.81570515265832,91.63107585906982,92.40108489990234,5741700,,,,,
2000-01-11,92.12463507602784,92.30232940000647,90.66359285664807,91.29539489746094,7503700,,,,,
2000-01-12,91.354715889747,91.354715889747,90.26880506762984,90.38726806640625,6907700,,,,,
2000-01-13,91.27566796993388,92.08516448448445,90.5254029076675,91.61131286621094,5158300,,,,,
2000-01-14,92.5788186195174,93.17113351791483,92.22342968047896,92.85523223876953,7437300,,,,,
2000-01-18,91.82852982064455,92.63802664340233,91.72981069591799,92.12468719482422,6488500,,,,,
2000-01-19,91.80881028272667,92.8749771118164,91.61137198104339,92.8749771118164,6157900,,,,,
2000-01-20,92.8552577458515,92.8552577458515,90.86113037346558,91.45344543457031,5800100,,,,,
2000-01-21,91.92727934483686,91.92727934483686,91.01906309701415,91.25598907470703,6244800,,,,,
2000-01-24,92.0259756641647,92.14443862361225,88.07721034924667,88.66952514648438,7896900,,,,,
2000-01-25,88.77813126325921,89.67647552490234,87.82055551183743,89.67647552490234,9942500,,,,,
2000-01-26,89.0841535829831,89.429670579371,88.51158256039744,88.96569061279297,5158100,,,,,
2000-01-27,89.61723336306484,89.85415929396521,87.26771788163617,88.61029815673828,10922700,,,,,
2000-01-28,88.09694153646208,88.49181801130055,85.62896356872166,85.84614562988281,11916200,,,,,
2000-01-31,85.80668938069188,88.24505250506266,85.29334977556118,88.17594909667969,10768700,,,,,
2000-02-01,88.29437433145527,89.5184913280005,87.52436525298329,89.04463958740234,8419900,,,,,
2000-02-02,89.26177999642658,89.87383820918687,88.689209410296,89.12357330322266,6205900,,,,,
2000-02-03,89.00519633366,90.50572759394352,88.45236902723974,90.46623992919922,7997500,,,,,
2000-02-04,90.46618176823303,90.97952107988166,89.79489189915404,90.09104919433594,4925400,,,,,
2000-02-07,90.07132090969606,90.2095276712848,89.3605432786682,89.9528579711914,5845800,,,,,
2000-02-08,90.95979700133934,91.33492965665201,90.74261493773727,91.1769790649414,4936400,,,,,
2000-02-09,91.27568774612519,91.27568774612519,89.25194602127598,89.2618179321289,8511500,,,,,
2000-02-10,89.47904760095457,90.07136256742162,89.00519562778094,89.43955993652344,6690600,,,,,
2000-02-11,89.617226717976,89.67645819630908,87.20847993243004,87.62310028076172,9849800,,,,,
2000-02-14,88.31413853553033,88.31413853553033,87.38617866270003,88.13644409179688,8528800,,,,,
2000-02-15,87.9784853676781,89.22234635918701,87.06039749299295,89.13349914550781,11078300,,,,,
2000-02-16,88.68927746367969,89.04466637604529,87.69221412620956,87.82054901123047,8845400,,,,,
2000-02-17,88.72874072058725,88.72874072058725,87.32692928508176,87.36641693115234,7584200,,,,,
2000-02-18,87.74156464539278,87.74156464539278,85.05640425120436,85.49076843261719,9409200,,,,,
2000-02-22,85.41184272951594,86.14236473159455,84.36541932113305,85.27363586425781,16415400,,,,,
2000-02-23,85.68824827425539,86.85313459872107,84.97747017797124,86.28056335449219,12119000,,,,,
2000-02-24,86.35947665161532,86.57665869166281,84.08893714202782,84.54304504394531,17375000,,,,,
